JURISDICTION,COUNTY,YEAR,APN,STREET_ADDRESS,PROJECT_NAME,REZONE_DT,LOW_INCOME,SHORTFALL_DESC,PARCEL_SIZE,GEN_PLAN_DESIGNATION,ZONING,MIN_DENSITY_ALLOWED,MAX_DENSITY_ALLOWED,REALISTIC_CAPACITY,PARCEL_VACANT_NONVACANT,PARCEL_DESC
ARTESIA,LOS ANGELES,2019,7040-019-004,18507 ARLINE AVE,Shortfall and Realistic Capacity Apply to the group letter cumulatively,6/10/2019,25.0,Unaccommodated Need,0.18,City Center Mixed Use,Housing Opportunity Overlay,16,25,25,Non-Vacant,Multi-Family Apt 2-8 Units
ARTESIA,LOS ANGELES,2019,7040-019-018,18523 ARLINE AVE,Shortfall and Realistic Capacity Apply to the group letter cumulatively,6/10/2019,25.0,Unaccommodated Need,0.54,City Center Mixed Use,Housing Opportunity Overlay,16,25,25,Non-Vacant,Church
ARTESIA,LOS ANGELES,2019,7040-019-019,18503 ARLINE AVE,Shortfall and Realistic Capacity Apply to the group letter cumulatively,6/10/2019,25.0,Unaccommodated Need,0.18,City Center Mixed Use,Housing Opportunity Overlay,16,25,25,Non-Vacant,Multi-Family Apt 2-8 Units
ARTESIA,LOS ANGELES,2019,7040-019-021,18439 ARLINE AVE,Shortfall and Realistic Capacity Apply to the group letter cumulatively,6/10/2019,25.0,Unaccommodated Need,0.18,City Center Mixed Use,Housing Opportunity Overlay,16,25,25,Non-Vacant,Multi-Family Apt 2-8 Units
ARTESIA,LOS ANGELES,2019,7035-014-025,17806 ALBURTIS AVE,Shortfall and Realistic Capacity Apply to the group letter cumulatively,6/10/2019,20.0,Unaccommodated Need,0.37,City Center Mixed Use,Housing Opportunity Overlay,16,25,20,Non-Vacant,Multiple Family Residential
ARTESIA,LOS ANGELES,2019,7035-014-026,17810 ALBURTIS AVE,Shortfall and Realistic Capacity Apply to the group letter cumulatively,6/10/2019,20.0,Unaccommodated Need,0.4,City Center Mixed Use,Housing Opportunity Overlay,16,25,20,Non-Vacant,Multiple Family Residential
ARTESIA,LOS ANGELES,2019,7035-014-027,17820 ALBURTIS AVE,Shortfall and Realistic Capacity Apply to the group letter cumulatively,6/10/2019,20.0,Unaccommodated Need,0.71,City Center Mixed Use,Housing Opportunity Overlay,16,25,20,Non-Vacant,Multiple Family Residential
ARTESIA,LOS ANGELES,2019,7035-019-023,11728 176TH ST,Shortfall and Realistic Capacity Apply to the group letter cumulatively,6/10/2019,20.0,Unaccommodated Need,0.12,City Center Mixed Use,Housing Opportunity Overlay,16,25,20,Non-Vacant,Single Family Detached
ARTESIA,LOS ANGELES,2019,7035-019-024,11722 176TH ST,Shortfall and Realistic Capacity Apply to the group letter cumulatively,6/10/2019,20.0,Unaccommodated Need,0.13,City Center Mixed Use,Housing Opportunity Overlay,16,25,20,Non-Vacant,Single Family Detached
ARTESIA,LOS ANGELES,2019,7035-019-025,11718 176TH ST,Shortfall and Realistic Capacity Apply to the group letter cumulatively,6/10/2019,20.0,Unaccommodated Need,0.12,City Center Mixed Use,Housing Opportunity Overlay,16,25,20,Non-Vacant,Single Family Detached
ARTESIA,LOS ANGELES,2019,7035-019-026,11710 176TH ST,Shortfall and Realistic Capacity Apply to the group letter cumulatively,6/10/2019,20.0,Unaccommodated Need,0.12,City Center Mixed Use,Housing Opportunity Overlay,16,25,20,Non-Vacant,Single Family Detached
ARTESIA,LOS ANGELES,2019,7035-019-027,11706 176TH ST,Shortfall and Realistic Capacity Apply to the group letter cumulatively,6/10/2019,20.0,Unaccommodated Need,0.12,City Center Mixed Use,Housing Opportunity Overlay,16,25,20,Non-Vacant,Single Family Detached
ARTESIA,LOS ANGELES,2019,7035-019-028,11702 176TH ST,Shortfall and Realistic Capacity Apply to the group letter cumulatively,6/10/2019,20.0,Unaccommodated Need,0.13,City Center Mixed Use,Housing Opportunity Overlay,16,25,20,Non-Vacant,Single Family Detached
ARTESIA,LOS ANGELES,2019,7035-019-029,17700 ALBURTIS AVE,Shortfall and Realistic Capacity Apply to the group letter cumulatively,6/10/2019,20.0,Unaccommodated Need,0.17,City Center Mixed Use,Housing Opportunity Overlay,16,25,20,Non-Vacant,Single Family Attached Triplex
ARTESIA,LOS ANGELES,2019,7035-019-030,17704 ALBURTIS AVE,Shortfall and Realistic Capacity Apply to the group letter cumulatively,6/10/2019,20.0,Unaccommodated Need,0.16,City Center Mixed Use,Housing Opportunity Overlay,16,25,20,Non-Vacant,Single Family Attached Triplex
ARTESIA,LOS ANGELES,2019,7035-019-031,17708 ALBURTIS AVE,Shortfall and Realistic Capacity Apply to the group letter cumulatively,6/10/2019,20.0,Unaccommodated Need,0.16,City Center Mixed Use,Housing Opportunity Overlay,16,25,20,Non-Vacant,Single Family Detached
ARTESIA,LOS ANGELES,2019,7035-019-032,17712 ALBURTIS AVE,Shortfall and Realistic Capacity Apply to the group letter cumulatively,6/10/2019,20.0,Unaccommodated Need,0.16,City Center Mixed Use,Housing Opportunity Overlay,16,25,20,Non-Vacant,Single Family Attached Triplex
ARTESIA,LOS ANGELES,2019,7035-019-033,17716 ALBURTIS AVE,Shortfall and Realistic Capacity Apply to the group letter cumulatively,6/10/2019,20.0,Unaccommodated Need,0.17,City Center Mixed Use,Housing Opportunity Overlay,16,25,20,Non-Vacant,Single Family Attached Triplex
ARTESIA,LOS ANGELES,2019,7035-019-034,17722 ALBURTIS AVE,Shortfall and Realistic Capacity Apply to the group letter cumulatively,6/10/2019,20.0,Unaccommodated Need,0.15,City Center Mixed Use,Housing Opportunity Overlay,16,25,20,Non-Vacant,Single Family Detached
ARTESIA,LOS ANGELES,2019,7035-019-035,17730 ALBURTIS AVE,Shortfall and Realistic Capacity Apply to the group letter cumulatively,6/10/2019,20.0,Unaccommodated Need,0.37,City Center Mixed Use,Housing Opportunity Overlay,16,25,20,Non-Vacant,Single Family Attached Other
ARTESIA,LOS ANGELES,2019,7035-019-036,17730 ALBURTIS AVE,Shortfall and Realistic Capacity Apply to the group letter cumulatively,6/10/2019,20.0,Unaccommodated Need,0.67,City Center Mixed Use,Housing Opportunity Overlay,16,25,20,Non-Vacant,Multi-Family Residential
ARTESIA,LOS ANGELES,2019,12/27/35,18000 ALBURTIS AVE,Shortfall and Realistic Capacity Apply to the group letter cumulatively,6/10/2019,23.0,Unaccommodated Need,0.16,City Center Mixed Use,Housing Opportunity Overlay,16,25,23,Non-Vacant,Single Family Detached
ARTESIA,LOS ANGELES,2019,12/28/35,18002 ALBURTIS AVE,Shortfall and Realistic Capacity Apply to the group letter cumulatively,6/10/2019,23.0,Unaccommodated Need,0.33,City Center Mixed Use,Housing Opportunity Overlay,16,25,23,Non-Vacant,Multi-Family Apt 2-8 Units
ARTESIA,LOS ANGELES,2019,12/31/35,18008 ALBURTIS AVE,Shortfall and Realistic Capacity Apply to the group letter cumulatively,6/10/2019,23.0,Unaccommodated Need,0.3,City Center Mixed Use,Housing Opportunity Overlay,16,25,23,Non-Vacant,Multi-Family Apt 2-8 Units
ARTESIA,LOS ANGELES,2019,7035-012-032,18012 ALBURTIS AVE,Shortfall and Realistic Capacity Apply to the group letter cumulatively,6/10/2019,23.0,Unaccommodated Need,0.14,City Center Mixed Use,Housing Opportunity Overlay,16,25,23,Non-Vacant,Single Family Detached
ARTESIA,LOS ANGELES,2019,7035-012-044,18014 ALBURTIS AVE,Shortfall and Realistic Capacity Apply to the group letter cumulatively,6/10/2019,23.0,Unaccommodated Need,0.63,City Center Mixed Use,Housing Opportunity Overlay,16,25,23,Non-Vacant,Multi-Family Apt 9+ Units
ARTESIA,LOS ANGELES,2019,7035-014-032,17922 ALBURTIS AVE,Shortfall and Realistic Capacity Apply to the group letter cumulatively,6/10/2019,23.0,Unaccommodated Need,0.45,City Center Mixed Use,Housing Opportunity Overlay,16,25,23,Non-Vacant,Multi-Family Apt 2-8 Units
ARTESIA,LOS ANGELES,2019,7035-014-033,17930 ALBURTIS AVE,Shortfall and Realistic Capacity Apply to the group letter cumulatively,6/10/2019,23.0,Unaccommodated Need,0.44,City Center Mixed Use,Housing Opportunity Overlay,16,25,23,Non-Vacant,Multi-Family Apt 2-8 Units
ARTESIA,LOS ANGELES,2019,2/14/39,18422 CORBY AVE,Shortfall and Realistic Capacity Apply to the group letter cumulatively,6/10/2019,14.0,Unaccommodated Need,0.37,City Center Mixed Use,Housing Opportunity Overlay,16,25,14,Non-Vacant,Multi-Family Apt 2-8 Units
ARTESIA,LOS ANGELES,2019,2/18/39,18426 CORBY AVE,Shortfall and Realistic Capacity Apply to the group letter cumulatively,6/10/2019,14.0,Unaccommodated Need,0.36,City Center Mixed Use,Housing Opportunity Overlay,16,25,14,Non-Vacant,Multi-Family Apt 2-8 Units
ARTESIA,LOS ANGELES,2019,2/20/39,18410 CORBY AVE,Shortfall and Realistic Capacity Apply to the group letter cumulatively,6/10/2019,14.0,Unaccommodated Need,0.52,City Center Mixed Use,Housing Opportunity Overlay,16,25,14,Non-Vacant,Multi-Family Apt 2-8 Units
ARTESIA,LOS ANGELES,2019,7039-002-900,18530 CORBY AVE,Shortfall and Realistic Capacity Apply to the group letter cumulatively,6/10/2019,14.0,Unaccommodated Need,0.24,City Center Mixed Use,Housing Opportunity Overlay,16,25,14,Non-Vacant,Single Family Detached
ARTESIA,LOS ANGELES,2019,7039-002-901,18510 CORBY AVE,Shortfall and Realistic Capacity Apply to the group letter cumulatively,6/10/2019,14.0,Unaccommodated Need,0.56,City Center Mixed Use,Housing Opportunity Overlay,16,25,14,Non-Vacant,Parking lot
ARTESIA,LOS ANGELES,2019,11/16/39,11741 187TH ST,Shortfall and Realistic Capacity Apply to the group letter cumulatively,6/10/2019,16.0,Unaccommodated Need,0.27,City Center Mixed Use,Housing Opportunity Overlay,16,25,16,Non-Vacant,Single Family Detached Other
ARTESIA,LOS ANGELES,2019,11/17/39,18634 CORBY AVE,Shortfall and Realistic Capacity Apply to the group letter cumulatively,6/10/2019,16.0,Unaccommodated Need,0.17,City Center Mixed Use,Housing Opportunity Overlay,16,25,16,Non-Vacant,Single Family Detached Other
ARTESIA,LOS ANGELES,2019,11/20/39,18618 CORBY AVE,Shortfall and Realistic Capacity Apply to the group letter cumulatively,6/10/2019,16.0,Unaccommodated Need,0.27,City Center Mixed Use,Housing Opportunity Overlay,16,25,16,Non-Vacant,Multi-Family Apt 2-8 Units
ARTESIA,LOS ANGELES,2019,11/21/39,18614 CORBY AVE,Shortfall and Realistic Capacity Apply to the group letter cumulatively,6/10/2019,16.0,Unaccommodated Need,0.17,City Center Mixed Use,Housing Opportunity Overlay,16,25,16,Non-Vacant,Multi-Family Apt 2-8 Units
ARTESIA,LOS ANGELES,2019,11/24/39,11740 186TH ST,Shortfall and Realistic Capacity Apply to the group letter cumulatively,6/10/2019,16.0,Unaccommodated Need,0.18,City Center Mixed Use,Housing Opportunity Overlay,16,25,16,Non-Vacant,Single Family Attached Duplex
ARTESIA,LOS ANGELES,2019,11/25/39,18626 CORBY AVE,Shortfall and Realistic Capacity Apply to the group letter cumulatively,6/10/2019,16.0,Unaccommodated Need,0.27,City Center Mixed Use,Housing Opportunity Overlay,16,25,16,Non-Vacant,Multi-Family Apt 2-8 Units
ARTESIA,LOS ANGELES,2019,11/26/39,18608 CORBY AVE,Shortfall and Realistic Capacity Apply to the group letter cumulatively,6/10/2019,16.0,Unaccommodated Need,0.26,City Center Mixed Use,Housing Opportunity Overlay,16,25,16,Non-Vacant,Multi-Family Apt 2-8 Units
ARTESIA,LOS ANGELES,2019,7033-017-005,11827 ASHWORTH ST,Shortfall and Realistic Capacity Apply to the group letter cumulatively,6/10/2019,6.0,Unaccommodated Need,0.29,City Center Mixed Use,Housing Opportunity Overlay,16,25,6,Non-Vacant,Single Family Detached
ARTESIA,LOS ANGELES,2019,7033-017-006,11819 ASHWORTH ST,Shortfall and Realistic Capacity Apply to the group letter cumulatively,6/10/2019,6.0,Unaccommodated Need,0.15,City Center Mixed Use,Housing Opportunity Overlay,16,25,6,Non-Vacant,Parking lot
ARTESIA,LOS ANGELES,2019,7033-018-008,11818 ASHWORTH ST,Shortfall and Realistic Capacity Apply to the group letter cumulatively,6/10/2019,16.0,Unaccommodated Need,0.1,City Center Mixed Use,Housing Opportunity Overlay,16,25,16,Non-Vacant,Single Family Detached
ARTESIA,LOS ANGELES,2019,7033-018-009,11820 ASHWORTH ST,Shortfall and Realistic Capacity Apply to the group letter cumulatively,6/10/2019,16.0,Unaccommodated Need,0.09,City Center Mixed Use,Housing Opportunity Overlay,16,25,16,Non-Vacant,Single Family Detached
ARTESIA,LOS ANGELES,2019,7033-018-010,11824 ASHWORTH ST,Shortfall and Realistic Capacity Apply to the group letter cumulatively,6/10/2019,16.0,Unaccommodated Need,0.09,City Center Mixed Use,Housing Opportunity Overlay,16,25,16,Non-Vacant,Single Family Detached
ARTESIA,LOS ANGELES,2019,7033-018-011,11828 ASHWORTH ST,Shortfall and Realistic Capacity Apply to the group letter cumulatively,6/10/2019,16.0,Unaccommodated Need,0.08,City Center Mixed Use,Housing Opportunity Overlay,16,25,16,Non-Vacant,Single Family Detached
ARTESIA,LOS ANGELES,2019,7033-018-012,17913 ARLINE AVE,Shortfall and Realistic Capacity Apply to the group letter cumulatively,6/10/2019,16.0,Unaccommodated Need,0.27,City Center Mixed Use,Housing Opportunity Overlay,16,25,16,Non-Vacant,Single Family Detached
ARTESIA,LOS ANGELES,2019,7033-018-013,17921 ARLINE AVE,Shortfall and Realistic Capacity Apply to the group letter cumulatively,6/10/2019,16.0,Unaccommodated Need,0.28,City Center Mixed Use,Housing Opportunity Overlay,16,25,16,Non-Vacant,Multi-Family Apt 2-8 Units
ARTESIA,LOS ANGELES,2019,7033-018-014,17927 ARLINE AVE,Shortfall and Realistic Capacity Apply to the group letter cumulatively,6/10/2019,16.0,Unaccommodated Need,0.19,City Center Mixed Use,Housing Opportunity Overlay,16,25,16,Non-Vacant,Multi-Family Apt 2-8 Units
ARTESIA,LOS ANGELES,2019,7033-019-010,18001 ARLINE AVE,Shortfall and Realistic Capacity Apply to the group letter cumulatively,6/10/2019,16.0,Unaccommodated Need,0.15,City Center Mixed Use,Housing Opportunity Overlay,16,25,16,Non-Vacant,Multi-Family Apt 2-8 Units
ARTESIA,LOS ANGELES,2019,7033-019-011,18007 ARLINE AVE,Shortfall and Realistic Capacity Apply to the group letter cumulatively,6/10/2019,16.0,Unaccommodated Need,0.18,City Center Mixed Use,Housing Opportunity Overlay,16,25,16,Vacant,Vacant
ARTESIA,LOS ANGELES,2019,7033-019-012,18011 ARLINE AVE,Shortfall and Realistic Capacity Apply to the group letter cumulatively,6/10/2019,16.0,Unaccommodated Need,0.18,City Center Mixed Use,Housing Opportunity Overlay,16,25,16,Vacant,Vacant
ARTESIA,LOS ANGELES,2019,7033-019-013,18017 ARLINE AVE,Shortfall and Realistic Capacity Apply to the group letter cumulatively,6/10/2019,16.0,Unaccommodated Need,0.19,City Center Mixed Use,Housing Opportunity Overlay,16,25,16,Vacant,Vacant
ARTESIA,LOS ANGELES,2019,7033-019-014,18021 ARLINE AVE,Shortfall and Realistic Capacity Apply to the group letter cumulatively,6/10/2019,16.0,Unaccommodated Need,0.18,City Center Mixed Use,Housing Opportunity Overlay,16,25,16,Non-Vacant,Multi-Family Apt 2-8 Units
ARTESIA,LOS ANGELES,2019,7033-019-015,18027 ARLINE AVE,Shortfall and Realistic Capacity Apply to the group letter cumulatively,6/10/2019,16.0,Unaccommodated Need,0.19,City Center Mixed Use,Housing Opportunity Overlay,16,25,16,Non-Vacant,Single Family Detached
ARTESIA,LOS ANGELES,2019,7033-019-016,18031 ARLINE AVE,Shortfall and Realistic Capacity Apply to the group letter cumulatively,6/10/2019,16.0,Unaccommodated Need,0.18,City Center Mixed Use,Housing Opportunity Overlay,16,25,16,Non-Vacant,Multi-Family Apt 2-8 Units
ARTESIA,LOS ANGELES,2019,7033-019-017,18103 ARLINE AVE,Shortfall and Realistic Capacity Apply to the group letter cumulatively,6/10/2019,16.0,Unaccommodated Need,0.19,City Center Mixed Use,Housing Opportunity Overlay,16,25,16,Non-Vacant,Multi-Family Apt 2-8 Units
ARTESIA,LOS ANGELES,2019,7040-017-001,18327 ARLINE AVE,Shortfall and Realistic Capacity Apply to the group letter cumulatively,6/10/2019,25.0,Unaccommodated Need,0.15,City Center Mixed Use,Housing Opportunity Overlay,16,25,25,Non-Vacant,Single Family Detached
ARTESIA,LOS ANGELES,2019,7040-017-002,18319 ARLINE AVE,Shortfall and Realistic Capacity Apply to the group letter cumulatively,6/10/2019,25.0,Unaccommodated Need,0.22,City Center Mixed Use,Housing Opportunity Overlay,16,25,25,Non-Vacant,Multi-Family Apt 2-8 Units
ARTESIA,LOS ANGELES,2019,7040-017-008,11818 183RD ST,Shortfall and Realistic Capacity Apply to the group letter cumulatively,6/10/2019,25.0,Unaccommodated Need,0.55,City Center Mixed Use,Housing Opportunity Overlay,16,25,25,Non-Vacant,Multi-Family Apt 9+ Units
ARTESIA,LOS ANGELES,2019,7040-018-001,18401 ARLINE AVE,Shortfall and Realistic Capacity Apply to the group letter cumulatively,6/10/2019,25.0,Unaccommodated Need,0.35,City Center Mixed Use,Housing Opportunity Overlay,16,25,25,Non-Vacant,Multi-Family Apt 2-8 Units
ARTESIA,LOS ANGELES,2019,7040-018-002,18411 ARLINE AVE,Shortfall and Realistic Capacity Apply to the group letter cumulatively,6/10/2019,25.0,Unaccommodated Need,0.17,City Center Mixed Use,Housing Opportunity Overlay,16,25,25,Non-Vacant,Single Family Attached Triplex
ARTESIA,LOS ANGELES,2019,7040-018-004,18415 ARLINE AVE,Shortfall and Realistic Capacity Apply to the group letter cumulatively,6/10/2019,25.0,Unaccommodated Need,0.17,City Center Mixed Use,Housing Opportunity Overlay,16,25,25,Non-Vacant,Single Family Attached Duplex
ARTESIA,LOS ANGELES,2019,7040-018-005,18421 ARLINE AVE,Shortfall and Realistic Capacity Apply to the group letter cumulatively,6/10/2019,25.0,Unaccommodated Need,0.18,City Center Mixed Use,Housing Opportunity Overlay,16,25,25,Non-Vacant,Single Family Attached Duplex
ARTESIA,LOS ANGELES,2019,7040-018-006,18427 ARLINE AVE,Shortfall and Realistic Capacity Apply to the group letter cumulatively,6/10/2019,25.0,Unaccommodated Need,0.17,City Center Mixed Use,Housing Opportunity Overlay,16,25,25,Non-Vacant,Single Family Attached Duplex
ARTESIA,LOS ANGELES,2019,7040-018-015,18431 ARLINE AVE,Shortfall and Realistic Capacity Apply to the group letter cumulatively,6/10/2019,25.0,Unaccommodated Need,0.19,City Center Mixed Use,Housing Opportunity Overlay,16,25,25,Non-Vacant,Multi-Family Apt 2-8 Units
ARTESIA,LOS ANGELES,2019,7040-019-003,18513 ARLINE AVE,Shortfall and Realistic Capacity Apply to the group letter cumulatively,6/10/2019,25.0,Unaccommodated Need,0.18,City Center Mixed Use,Housing Opportunity Overlay,16,25,25,Non-Vacant,Parking lot
SOUTH EL MONTE,LOS ANGELES,2018,8118-019-035,1144-1204 Santa Anita Ave,Santa Anita Avenue,12/27/2017,,Shortfall of Sites,3.85,Mixed-use,C-R,16,20,16,Vacant,
SOUTH EL MONTE,LOS ANGELES,2018,8116-006-020,1127 Santa Anita Ave,Old Bank  Property,2/25/2018,,Shortfall of Sites,0.82,Mixed-use,C-R,16,20,16,Vacant,
SOUTH EL MONTE,LOS ANGELES,2018,8118-019-008,1124  Santa Anita Ave,Old Rack & Shelving,1/26/2017,,Shortfall of Sites,2.4,Mixed-use,C-R,16,20,16,Vacant,
SOUTH EL MONTE,LOS ANGELES,2018,8116-027-047,No legal address,Santa Anita Center,11/18/2002,,Shortfall of Sites,2.43,Mixed-use,C-R,16,20,16,Vacant,
SOUTH EL MONTE,LOS ANGELES,2019,8102029019,Humbert Ave,Humbert/Fern,10/1/2019,,Unaccommodated Need,0.43,Medium Density Residential,R3,16,16,30,Vacant,
SOUTH EL MONTE,LOS ANGELES,2019,8102029020,Humbert Ave,Humbert/Fern,10/1/2019,,Unaccommodated Need,0.43,Medium Density Residential,R3,16,16,30,Vacant,
SOUTH EL MONTE,LOS ANGELES,2019,8102029026,Humbert Ave,Humbert/Fern,10/1/2019,,Unaccommodated Need,0.87,Medium Density Residential,R3,16,16,30,Vacant,
SOUTH EL MONTE,LOS ANGELES,2019,8104025023,Santa Anita Ave,Santa Anita/ Weaver,4/1/2020,,Unaccommodated Need,0.12,Medium Density Residential,R3,16,16,30,Non-Vacant,"commercial , mixed use"
SOUTH EL MONTE,LOS ANGELES,2019,8104025024,Santa Anita Ave,Santa Anita/ Weaver,4/1/2020,,Unaccommodated Need,0.14,Medium Density Residential,R3,16,16,30,Non-Vacant,"commercial , mixed use"
SOUTH EL MONTE,LOS ANGELES,2019,8104022011,Continental Ave,Continental /Weaver,10/1/2019,,Unaccommodated Need,0.42,Medium Density Residential,R3,16,16,30,Vacant,
SOUTH EL MONTE,LOS ANGELES,2020,8102029019,Humbert Ave,Humbert/Fern,10/1/2019,,Unaccommodated Need,0.43,Medium Density Residential,R3,16,16,30,Vacant,
SOUTH EL MONTE,LOS ANGELES,2020,8102029020,Humbert Ave,Humbert/Fern,10/1/2019,,Unaccommodated Need,0.43,Medium Density Residential,R3,16,16,30,Vacant,
SOUTH EL MONTE,LOS ANGELES,2020,8102029026,Humbert Ave,Humbert/Fern,10/1/2019,,Unaccommodated Need,0.87,Medium Density Residential,R3,16,16,30,Vacant,
