JURS_NAME,YEAR,PROGRAM_NAME,PROGRAM_OBJECTIVE,ACCOMPLISHED_DT,PROGRAM_STATUS
COMPTON,2018,1.     Housing Choice Voucher Program -Compton Housing Authority,Assist people to obtain housing through section 8 vouchers,Ongoing,Active:  803 households assisted annaully
COMPTON,2018,14.     Expedited Permit Procedures,"The City will explore establishing an expedited permit procedure for developments with a majority of the units intended for low to moderate income households that also do not require any Variance, Zone Change or General Plan Amendments",Ongoing,Uncompleted.  Completion expected in fall of 2020
WALNUT,2019,Zoning Code Amendment & Implementation,Ammending the Zoning Code to facilitate the development of various housing types,Ongoing,"In October 2014, the Zoning Code was amended to allow for Employee Housing, as well as, continuing to amend the Code for future development sites and to remain consistent with State Law. Furthermore, the General Plan Update was adopted in May of 2018."
SAN MARINO,2019, Provide fair housing information,Make information available regarding fair housing and what do do if a complaint regarding housing discrimination is made.,Ongoing,Housing discrimination brochures are provided at the front counter at City Hall.  Staff is currently working on updating them as necessary and collecting information for the city website.
PALOS VERDES ESTATES,2019,Pursue a pro-active code enforcement program for substandard dwelling units,Eliminate all substandard conditions,Ongoing,"Code Enforcement Officer hired in 2018, both reactively and proactively addressing code compliance concerns"
PALOS VERDES ESTATES,2019,Continue to require all new projects to conform to the requirements of Title 24 of the California Administrative Code,Ensure that all new structures conform to current energy conservation standards,Ongoing,The City continues to require compliance with the energy conservation provisions of Title 24
ARTESIA,2019,Fair Housing Referrals,Fair Housing Referrals,Ongoing,Program in effect.
GLENDALE,2019,1a Multifamily Rehabilitation Loan Program,Provide multifamily rental rehabilitation loans assisting approximately 19 rental housing units.,Ongoing,"The Mutlifamily Rehabilitation Loan Program was phased out when the State of CA eliminated redevelopment and funding for affordbale housing.  This program was previously funded through that source.  As of this report, the State does not anticipate reinstating this funding."
GLENDALE,2019,5a Care Management Services,Continue to provide case management services to 160 seniors annually.,Ongoing,"In 2019-2020 services were provided to over 350 seniors in 3 three LA County funded Senior Services Programs:
Supportive Services Program (SSP) better known as Senior Case Management continues to be a City of Glendale priority. The City of Glendale serves an unduplicated 120 seniors annually with SSP funding of $61,322 from LA County through the federal Older Americans Act Grant.
The Elderly Nutrition Program serves 300 unduplicated seniors annually in the Congregate Meal and Home Delivered Meals Program and Telephone Reassurance Program which is funded by LA County through the federal Older Americans Act. 
a. Congregate Meals (45,000+ meals annually) $276,355
b. Home Delivered Meals(11,000+ meals delivered annually) $47,989
c. Telephone Reassurance (150+ well being calls annually) $1,170
This grant has a minimum match requirement of 15% from the City of Glendale and each year, the City transfers $84,577 to the Senior Nutrition Fund."
ROLLING HILLS ESTATES,2019,Neighborhood Compatibility Ordinance,Ensure that new housing is compatible with established development and conformity standards established by the City,Ongoing,Ongoing Implementation
ROLLING HILLS ESTATES,2019,Continue Code Enforcement Activities,Encourage the conservation and maintenance of existing units in compliance with zoning and environmental standards,Ongoing,Ongoing Implementation
ROLLING HILLS ESTATES,2019,Identify Housing Assistance Program Resources,"Explore public and private financing which could contribute to the rehabilitation and improvement of existing housing. If funding is available, assist the rehabilitation of 2 to 4 units per year.",Ongoing,Ongoing Implementation
ROLLING HILLS ESTATES,2019,Residential Care Facilities for 7+ Persons,Continue to facilitate the provision of residential care facilities consistent with State law.,Ongoing,Ongoing implementation.
REDONDO BEACH,2019,Program 3: Mobility Access/Emergency Repair Program,Provide services to 10 lower income (including extremely low income) Redondo Beach homeowners each year for a total of 90 households. Promote program to residents through brochures at public counters and information on City website.,Ongoing,"During this current 2013-2021 Housing Element cycle/period, the City to date has successfully provided assistance to 66 very low and low income households under the Mobility Access/Emergency Repair Program using CDBG funds. This program continues to be appropriate and is included in the 2017 Housing Element Update."
GLENDORA,2019,4 - Energy Conservation,Implement citywide green building program and provide incentives to encourage green building.,Ongoing,The City adopted the 2019  California Green Building Standardards Code that took effect in January 2020.
BURBANK,2019,Sustainability and Green Building,Implement Sustainability Action Plan and Greenhouse Gas Reduction Plan and encourage green building practices in new construction and rehab projects.,Ongoing,CAL Green (Title 24) building code standards adopted in 2019 and continues to be implemented through the Building Division.
BURBANK,2019,Affordable Housing Density Bonus,Implement state law.,Ongoing,"In 2019, City staff continued work on updating the City's Zoning Code to reflect updates in State regulations for Density Bonus applications. Updated regulations are expected to be presented for Council consideration in 2020, in conjunction with the City's updated inclusionary housing requirements. The City continues to comply with requirements for projects utilizing a request for State density bonus."
INDUSTRY,2019,4: Infrastructure Maintenance,"Maintain infrastructure and public services that enhance the safety, appearance, and condition of neighborhoods.",Ongoing,"The City's residential areas have infrastructure in place, however, surrounding commercial and industrial uses result in wear and tear. The City continues to maintain infrastructure and provide public services in a manner that enhances neighborhoods. These include infrastructure such as streets, curbs, gutters, sidewalks, traffic signals, and other improvements."
INDUSTRY,2019,5: Housing Maintenance and Rehabilitation Assistance,Provide grants for which homeowners may apply for home maintenance and rehabilitation. Make up to 5 grants available per year for which property owners may apply. Publicize the program at City Hall and in “Industry News.” Seek additional funding and partners to administer the program.,Ongoing,"The City of Industry provides up to $15,000 in grants (once every five years) to City of Industry homeowners or landlords for maintenance and repairs such as roofing, plumbing, electrical, or other code violations. The program also offers the opportunity to make energy conservation improvements. The City Council approved a Housing Rehabilitation Grant Program on May 25, 2000 (Resolution No. 1839) and updated program guidelines and an application on April 17, 2014 (Resolution No. CC 2014-05). There were no requests for home rehabilitation grants in 2019."
IRWINDALE,2019,Program 11:  Mountain Avenue & Shrode Street Residential Development,Development of 8 units,Ongoing,"In 2018, The Housing Authority approved two Addendums to the Disposition and Development Agreement by and between the Irwindale Housing Authority and IMD Enterprises, LLC, to provide for 13 additional affordable housing units, of which 7 are located on Mountain & Shrode; 4 on Baca Ave.; 2 on Irwindale Ave."
IRWINDALE,2019,Program 16:  Fair Housing Program,Referrals at resident request,Ongoing,This information is provided when requested by residents.
LONG BEACH,2019,Preservation of At-Risk Units,"Annually monitor status of the 1,600 affordable housing units that are at risk of converting to market rate",Ongoing,"Since 2014, affordability in the following projects has been preserved and extended for an additional 55 years: 

• New Hope Home – Preservation of 140 Senior Units. Development Services (DS) supported and assisted with funding applications.
• Sea Mist Tower, 1451 Atlantic – Preservation of 75 Senior Veteran Units. DS amended previous agreements, and supported and assisted with funding applications.
• Covenant Manor, 600 E. 4th Street – Preservation of 100 Senior Units. DS amended previous agreements, and supported and assisted with funding applications.
• Brethren Manor, 3333 Pacific – Preservation of 295 Senior Units.  Health and Human Services (HHS) provided tenant protection vouchers and coordinated with the U.S. Department of Housing and Urban Development (HUD). DS supported and assisted with funding applications."
LONG BEACH,2019,2.6 HOME Security Deposit Assistance,"¿Provide security deposit assistance to 350 homeless households. This program benefits primarily extremely low income households.
¿Promote program to nonprofit service providers.",Ongoing,"In 2019, 36 applications were approved for HOME Security Deposit Assistance. 30 were provided to chronically homeless seniors for residence at Beacon Pointe, 2 for seniors moving into the Century Villags at Cabrillo, and 4 for low income households for market-rate units."
LONG BEACH,2019,4.1 Affordable Housing Development Assistance,"¿Annually monitor availability of State and federal funding and partner with affordable housing developers, if necessary, in applying for additional funds.
Identify qualified nonprofit developers for partnership in affordable housing construction and acquisition/rehabilitation projects.
¿Prepare and implement a Housing Action Plan (HAP) in 2015.",Ongoing,"Staff continued to monitor federal and state funding programs, specifically the Affordable Housing and Sustainable Communities program, CalHOME program, and Permanent Local Housing Allocation program. 

Under Construction:
- The Beacon - 160 units for veteran/senior households. LBCIC provided $12.3M in funding.
- Vistas Del Puerto Apartments - 48 units for families & homeless households. LBCIC provided $2.825M in funding.
- Las Ventanas - 101 units for low- and very-low income households. LBCIC provided $3.5M in funding and assisted in successful application for $13.976M in AHSC funding.
- The Spark at Midtown - 95 units for homeless & family households. LBCIC provided $3 million in funding.                                                                          

Recently Completed:
- Washington Homes - Acquisition and rehablitation of a single-family residence housing three individuals with developmental disabilities earning up to 50% of AMI. DS/LBCIC provided $252,800 in funding.
- Redondo Homes - Acquisition and Rehabilitation of five units for individuals with developmental disabilities earning 50% AMI. DS/LBCIC provided $875,920 in funding."
LONG BEACH,2019,5.1 City First Time Homebuyer Programs,"¿Assist 25 lower income households with homebuyer assistance.
¿Promote programs via City newsletters, website, and brochures at public counters.
¿Pursue additional funding from State housing programs; annually explore funding opportunities with State HCD.",Ongoing,The LBCIC has provided 16 second mortgage loans to very low- and low-income first-time homebuyers.
BEVERLY HILLS,2019,Fair Housing Program (No. 11.1),Promote fair housing practices and refer fair housing complaints to Housing Rights Center,Ongoing,The City provides Fair Housing information on the City's website (www.beverlyhills.org).
SANTA CLARITA,2019,H 2.3 Homebuyer Assistance - CalHFA,Remain a particiapting jurisdiction for CalHFA,Ongoing,The City remains a participating jurisdiction for CalHFA in 2019. CalHFA information remains on the City’s website and is in the current Affordable Housing and Services Brochure for continued promotion.
SANTA CLARITA,2019,H 2.6 Homeless Case Management,Fund case management for the homeless.,Ongoing,The City funded a local non-profit to provide case management for the homeless.  459 inidivduals were served in 2019.
CUDAHY,2019,SRO Hotels,"The City shall preserve single-room occupancy (SRO) hotels and strictly enforce ordinances regarding property maintenance and fire and safety standards to safeguard the public health, safety and welfare of tenants.",Ongoing,"Two motels in the City provide short term housing to homeless or at-risk individuals. The City strictly enforces ordinances regarding property maintenance and fire and safety standards to safeguard the public health, safety and welfare of tenants."
CUDAHY,2019,"Persons with Disabilities, including Development Disabilities Program","The City shall seek State and Federal monies, as funding becomes available, in support of housing construction and rehabilitation targeted for persons with disabilities.",Ongoing,"The City shall provide regulatory incentives, such as expedited permit processing and fee waivers and deferrals, to projects targeted for persons with disabilities, including persons with developmental disabilities. The program was included in the 2018 updated Housing Element. 2018 Housing Element Program 20."
LAWNDALE,2019,Section 8 Housing Choice Vouchers,Provide rental assistance to lower income households,Ongoing,"In order to more efficiently process applications for Section 8 assistance, the Lawndale Housing Authority transferred administrative responsibilities of its Section 8 program to the Los Angles County Housing Authority. However, the City continues to provide information on the Section 8 program and refer residents to the LA County Housing Authority."
LAWNDALE,2019,Accessory Dwelling Units,Promote the development of Accessory dwelling units as defined under State law,Ongoing,Promotional materials distributed.
HERMOSA BEACH,2019,Program 8 Facilitate Efficient Use of Sites that Allow High-Density Residential Development.,Facilitate affordable housing development on sites that allow high-density residential development including reducing constraints posed by small lot sizes.,Ongoing,"The City continued to encourage affordable housing development; however, no inquiries have been submitted."
TEMPLE CITY,2018,Rental Assistance (for Existing Cost Burdened Households),"Support the County’s efforts to maintain, and possibly to increase, the current number of Housing Choice Vouchers; direct eligible households to the program. Provide information on the Housing Choice Voucher Program to interested multi-family property owners
and managers.",Ongoing,The City partners with the County of Los Angeles in regard to rental assistance. In continual progress.
ARTESIA,2020,Fair Housing Referrals,Fair Housing Referrals,Ongoing,Program in effect.
ARCADIA,2020,5-10 Residential Neighborhood Integrity,"Preserve the City's residential neighborhood integrity by addressing commercial housing uses such as birthing homes, boarding homes, single-room occupancy housing, and similar uses in residential zones.",Ongoing,"The City's updated Development Code was adopted on November 15, 2016
which addressed location and development standards for single-room
occupancy housing and classified birthing homes as short-term rentals which are prohibited in City per the updated Development Code."
HIDDEN HILLS,2019,Program 3. Infill Residential Development. Encourage development of existing vacant residential infill sites and second units (see also Program 5b).,Additional development of homes and second units consistent with housing needs,Ongoing,The City encouraged infill development by making information regarding second units available to homeowners.
HIDDEN HILLS,2019,"Program 7a. Accessible Housing.  The City will continue to enforce the current Zoning Code and the state provisions (Title 24) for handicapped access, and allow residential care facilities consistent with state law. Through the continued implementation of the Reasonable Accommodation Ordinance, the City will facilitate the streamlined approval of modifications to zoning and building regulations needed to accommodate the needs of persons with disabilities, including developmental disabilities.",Promote accessible housing,Ongoing,The City continued to implement accessibility standards.No reasonable accommodation requests were submitted in 2018.
REDONDO BEACH,2020,Program 11: Mixed-Use Housing Development,Continue marketing mixed use development and annually conduct marketing events.,Ongoing,"In 2011, the City amended the land use regulations and development standards related to building height, permitted uses and parking requirements within the Mixed Use (MU) and Regional Commercial (RC) zones. These amendments were intended to ensure that residential uses in the City’s mixed use zones were not adversely impacted by adjacent commercial uses. Since 2014, the following mixed use developments have been developed or proposed in the City:

Legado Mixed Use Project: A 115-unit mixed use project has been approved at 1700 S. Pacific Coast Highway. This project is adjacent to Site #1 (Pacific Coast Highway Mixed Use) in the Residential Sites Inventory (discussed below).

219 Avenue I Mixed Use Project: A mixed use project consisting of 12 apartment units and 6,000 square feet of commercial development has been approved on a property zoned MU-3C within the Coastal Zone. Two of the units will be set aside as affordable housing. The specific income level of the affordable units will be ""moderate income"". 

Seabreeze Mixed Use Project: Similar to the Legado Project discussed above, this project is a 52-unit residential condominium project with approximately 10,000 square feet of commercial space, which was recently completed (2020) This site also demonstrates the feasibility of intensification along S. Pacific Coast Highway.

The Galleria Project: This is a Commercial-Retail/Hotel/Office and Residential Mixed Use Project that includes the development of 300 residential apartments, with 10% (30 units) very low income deed restricted or 20% (60 units) low income deed restricted and was approved in 2019 on a property zoned CR (Commercial Regional - allows mixed used residential). Up to 60 of the units are to be set aside as affordable housing. The specific income level of the affordable units will be either ""very low or low income"".

This program is included in the 2017 Housing Element Update."
PALOS VERDES ESTATES,2020,Pursue a pro-active code enforcement program for substandard dwelling units,Eliminate all substandard conditions,Ongoing,"Code Enforcement Officer hired in 2018, both reactively and proactively addressing code compliance concerns"
TEMPLE CITY,2020,Affordable Housing Development Assistance,"Provide development assistance through regulatory incentives as a means to reduce overall development costs and facilitate the development of quality affordable housing for families and seniors. Assist affordable housing developers to seek additional funding sources— including State, federal, and private funding sources—as a means of leveraging local funds and maximizing assistance to meet City housing goals. Meet with developers of supportive housing as requested to help them understand how housing for persons with disabilities, including developmental disabilities, can best be constructed in Temple City.",Ongoing,"City has the plan to prepare an impact fee study and present it to the City Council.  As part of that discussion, the City Council will look at the reduced fees for affordable housing projects.  The Zoning Code has been updated to provide for density bonuses, concessions, D57waivers, and incentives."
REDONDO BEACH,2020,Program 7: Affordable Housing Development,"Continue to promote the availability of incentives for affordable housing development on the City website. At least every other year, conduct an affordable housing meeting with affordable housing developers and invite proposals from interested developers. Pursue additional State (e.g. State funds for transit-oriented development and infrastructure improvements) and federal funding for affordable development in conjunction with mixed use development on Galleria and Green Line station sites.",Ongoing,"The City continues to monitor affordable housing development funding through the State Cap and Trade program. 

The Galleria, a Commercial-Retail/Hotel/Office and Residential Mixed Use Project included the development of 300 residential apartments, with 10% (30 units) very low income deed restricted or 20% (60 units) low income deed restricted has been approved on a property zoned CR (Commercial Regional - allows mixed used residential). Up to 60 of the units are to be set aside as affordable housing. The specific income level of the affordable units will be ""very low or low income"". The City will continue to offer incentives for affordable housing. This program is included in the 2017 Housing Element Update.

Beginning in 2020 and continuing in 2021 the City Council has begun and continues to investigate the development of an ""inclusionary housing"" ordinance. Consultants have been retained and studies are ongoing."
ROLLING HILLS ESTATES,2020,Implement the Density Bonus Ordinance Consistent with State Law,"Continue to facilitate lower-income and senior housing, including extremely-low-income units where feasible, through provision of a density bonus for qualifying projects.",Ongoing,Ongoing implementation.
AGOURA HILLS,2020,Sustainability and Green Building,Implement General Plan sustainability policies/actions. Provide education/ outreach to residents and development community on Green Building Program.,Ongoing,"Progress:  Program implementation is ongoing through the development application review process and updates to, and compliance with, the Green Building Code.  The Building and Safety Division conducts education on the program by “visiting booths” and local home supply retail centers and local street fairs.

Effectiveness: The City remains committed and effective in promoting and incorporating sustainable practices and programs.

Appropriateness: Sustainable energy and green programs remain appropriate to the Housing Element Update."
HAWTHORNE,2020,Housing Choice Voucher Program,"This program assists extremely low and very low income households in paying their monthly rent. Under the program, the tenant contributes 30 percent of their monthly income toward rent, while the Housing Choice voucher will pay for the remainder of the monthly rental cost up to the payment standards established by the Housing Authority.",Ongoing,The program assisted an average of 822 participants and applicants per month for the calendar year 2020.
HAWTHORNE,2020,Security Deposit Assistance Program,This program provides extremely low and very low income renters with a zero-percent interest loan for up to one month’s rent to be used as a security deposit. The loan must be paid back to the City upon tenant vacation of the unit.,Ongoing,This program is not active at this time.
CUDAHY,2020,Inclusionary Housing Program,The City shall explore the feasibility of requiring affordable housing units within new housing developments.,Ongoing,"This may be promoted by density bonuses and other incentives, coupled with a use restriction on the affordable units.  The City may also require developers to provide a minimum percentage of affordable housing, pay fees, or dedicate land."
LA HABRA HEIGHTS,2020,Housing Element Update,Update Housing Element to gain HCD  certification.,Ongoing,Community Workshop October 2019
LAWNDALE,2020,Residential Rehabilitation,Preserve and improve the quality of the City's housing stock,Ongoing,The loss of Redevelopment Agency Housing Set-Aside funds effectively put the program on hold;
LAWNDALE,2020,Affordable Housing Development,Facilitate affordable housing development by providing financial and regulatory incentives,Ongoing,"The City can no longer provide gap financing; however, City staff have been providing technical assistance to developers with regard to the City's mixed-use zoning and density bonus provisions and how the provisions can be applied to affordable housing developments."
GARDENA,2020,17. Fair Housing Program,Continue contracting with the Fair Housing Foundation (FHF) to assure City residents have equal access to housing,Ongoing,The City continues to provide information of the Fair Housing Foundation on the City's website
BURBANK,2020,Inclusionary Housing Ordinance,Continue to implement inclusionary housing ordinance.,Ongoing,"In 2020, City staff continued work on exploring potential updates to the City's existing Inclusionary Housing regulations.  A City Council study session was held in 2020 to discuss potential updates that could be made in light of changes in State law allowing for inclusionary requirements to be applied for rental projects. Potential updates to the City's Inclusionary Housing regulations are expected for Council consideration in 2021. The City continues to apply the existing inclusionary housing regulations for applicable rental and ownership projects."
BURBANK,2020,Housing for Persons with Disabilities,Support the construction and rehab of housing targeted for persons with disabilities.,Ongoing,Ongoing program. No activity in 2020 reporting period.
BURBANK,2020,Sustainability and Green Building,Implement Sustainability Action Plan and Greenhouse Gas Reduction Plan and encourage green building practices in new construction and rehab projects.,Ongoing,CAL Green (Title 24) building code standards adopted in 2019 and continues to be implemented through the Building Division.
BURBANK,2020,Emergency Shelter and Emergency Services,Explore opportunities for supportive services programs and partnerships  to leverage funds; provide funding support to agencies offering homeless services to Burbank's homeless and at-risk population.,Ongoing,"In 2020, the City planned, prepared, and responded to COVID 19 by allocating $614,769 in Community Development Block Grant Coronavirus Aid, Relief, and Economic Security (CARES) Act funds for 1) an emergency rent relief, and 2) small business assistance loan. The rent assistance prevented many low-income renters from facing homelessness by helping pay rent arrears. The rent assistance program was leveraged with $139,340 from Measure H. In 2020, the Homeless Service Liaison Street Outreach Program was extended through August 30, 2021. The Homeless Services Liaison has assisted 86 people since April 2019.  In 2020, the City is in the process of purchasing an commercial building located at 322-323 Front Street. This site is a good site for potential transitional homeless facility."
SANTA CLARITA,2020,H 1.4 Land Banking/Write-Downs,Purchase vacant sites as available.,Ongoing,Tracking is on-going.  No available sites were identified in 2020.
SANTA CLARITA,2020,H 3.1 Proactive Community Preservation,Maintenance of existing homes. Reduction of crime; graffiti.,Ongoing,"Community Preservation Division continues to process code enforcement cases as needed. • Community Awareness Program (CAP) meetings have taken place in various different communities throughout the City approximately every other month since April 2018. Local residents of each specific community are invited to learn and discuss more about quality of life issues such as:  Code Enforcement, Housing Graffiti Removal, Animal Care and Control, Parking Enforcement, Illegal Dumping, Unpermitted Construction, and General Property Maintenance. CAP meetings include presentations by Code Enforcement, Housing, and Graffiti staff. The last CAP meeting took place in December 2019."
