JURISDICTION,COUNTY,YEAR,APN,STREET_ADDRESS,EXISTING_USE_TYPE,NUM_OF_UNITS,SURPLUS_TYPE,PARCEL_SIZE,NOTES
COACHELLA,RIVERSIDE,2020,767-720-019,"SE Corner of Ave 50 + Calhoun St., Coachella, CA 92236",Vacant,0,Surplus Land,37.3,Part of 37.3 Acre Property
COACHELLA,RIVERSIDE,2020,767-721-001,"SE Corner of Ave 50 + Calhoun St., Coachella, CA 92236",Vacant,0,Surplus Land,37.3,Part of 37.3 Acre Property
COACHELLA,RIVERSIDE,2020,767-721-002,"SE Corner of Ave 50 + Calhoun St., Coachella, CA 92236",Vacant,0,Surplus Land,37.3,Part of 37.3 Acre Property
COACHELLA,RIVERSIDE,2020,767-721-003,"SE Corner of Ave 50 + Calhoun St., Coachella, CA 92236",Vacant,0,Surplus Land,37.3,Part of 37.3 Acre Property
COACHELLA,RIVERSIDE,2020,767-721-004,"SE Corner of Ave 50 + Calhoun St., Coachella, CA 92236",Vacant,0,Surplus Land,37.3,Part of 37.3 Acre Property
COACHELLA,RIVERSIDE,2020,767-721-005,"SE Corner of Ave 50 + Calhoun St., Coachella, CA 92236",Vacant,0,Surplus Land,37.3,Part of 37.3 Acre Property
COACHELLA,RIVERSIDE,2020,767-721-006,"SE Corner of Ave 50 + Calhoun St., Coachella, CA 92236",Vacant,0,Surplus Land,37.3,Part of 37.3 Acre Property
COACHELLA,RIVERSIDE,2020,767-721-007,"SE Corner of Ave 50 + Calhoun St., Coachella, CA 92236",Vacant,0,Surplus Land,37.3,Part of 37.3 Acre Property
COACHELLA,RIVERSIDE,2020,767-721-008,"SE Corner of Ave 50 + Calhoun St., Coachella, CA 92236",Vacant,0,Surplus Land,37.3,Part of 37.3 Acre Property
COACHELLA,RIVERSIDE,2020,767-721-009,"SE Corner of Ave 50 + Calhoun St., Coachella, CA 92236",Vacant,0,Surplus Land,37.3,Part of 37.3 Acre Property
COACHELLA,RIVERSIDE,2020,767-721-010,"SE Corner of Ave 50 + Calhoun St., Coachella, CA 92236",Vacant,0,Surplus Land,37.3,Part of 37.3 Acre Property
COACHELLA,RIVERSIDE,2020,767-721-011,"SE Corner of Ave 50 + Calhoun St., Coachella, CA 92236",Vacant,0,Surplus Land,37.3,Part of 37.3 Acre Property
COACHELLA,RIVERSIDE,2020,767-721-012,"SE Corner of Ave 50 + Calhoun St., Coachella, CA 92236",Vacant,0,Surplus Land,37.3,Part of 37.3 Acre Property
COACHELLA,RIVERSIDE,2020,767-721-013,"SE Corner of Ave 50 + Calhoun St., Coachella, CA 92236",Vacant,0,Surplus Land,37.3,Part of 37.3 Acre Property
COACHELLA,RIVERSIDE,2020,767-721-014,"SE Corner of Ave 50 + Calhoun St., Coachella, CA 92236",Vacant,0,Surplus Land,37.3,Part of 37.3 Acre Property
COACHELLA,RIVERSIDE,2020,767-721-015,"SE Corner of Ave 50 + Calhoun St., Coachella, CA 92236",Vacant,0,Surplus Land,37.3,Part of 37.3 Acre Property
COACHELLA,RIVERSIDE,2020,767-721-016,"SE Corner of Ave 50 + Calhoun St., Coachella, CA 92236",Vacant,0,Surplus Land,37.3,Part of 37.3 Acre Property
COACHELLA,RIVERSIDE,2020,767-721-017,"SE Corner of Ave 50 + Calhoun St., Coachella, CA 92236",Vacant,0,Surplus Land,37.3,Part of 37.3 Acre Property
COACHELLA,RIVERSIDE,2020,767-721-018,"SE Corner of Ave 50 + Calhoun St., Coachella, CA 92236",Vacant,0,Surplus Land,37.3,Part of 37.3 Acre Property
COACHELLA,RIVERSIDE,2020,767-721-019,"SE Corner of Ave 50 + Calhoun St., Coachella, CA 92236",Vacant,0,Surplus Land,37.3,Part of 37.3 Acre Property
COACHELLA,RIVERSIDE,2020,767-721-020,"SE Corner of Ave 50 + Calhoun St., Coachella, CA 92236",Vacant,0,Surplus Land,37.3,Part of 37.3 Acre Property
COACHELLA,RIVERSIDE,2020,767-721-021,"SE Corner of Ave 50 + Calhoun St., Coachella, CA 92236",Vacant,0,Surplus Land,37.3,Part of 37.3 Acre Property
COACHELLA,RIVERSIDE,2020,767-721-022,"SE Corner of Ave 50 + Calhoun St., Coachella, CA 92236",Vacant,0,Surplus Land,37.3,Part of 37.3 Acre Property
COACHELLA,RIVERSIDE,2020,767-721-023,"SE Corner of Ave 50 + Calhoun St., Coachella, CA 92236",Vacant,0,Surplus Land,37.3,Part of 37.3 Acre Property
COACHELLA,RIVERSIDE,2020,767-721-024,"SE Corner of Ave 50 + Calhoun St., Coachella, CA 92236",Vacant,0,Surplus Land,37.3,Part of 37.3 Acre Property
COACHELLA,RIVERSIDE,2020,767-721-025,"SE Corner of Ave 50 + Calhoun St., Coachella, CA 92236",Vacant,0,Surplus Land,37.3,Part of 37.3 Acre Property
COACHELLA,RIVERSIDE,2020,767-721-026,"SE Corner of Ave 50 + Calhoun St., Coachella, CA 92236",Vacant,0,Surplus Land,37.3,Part of 37.3 Acre Property
COACHELLA,RIVERSIDE,2020,767-721-027,"SE Corner of Ave 50 + Calhoun St., Coachella, CA 92236",Vacant,0,Surplus Land,37.3,Part of 37.3 Acre Property
COACHELLA,RIVERSIDE,2020,767-721-028,"SE Corner of Ave 50 + Calhoun St., Coachella, CA 92236",Vacant,0,Surplus Land,37.3,Part of 37.3 Acre Property
COACHELLA,RIVERSIDE,2020,767-721-029,"SE Corner of Ave 50 + Calhoun St., Coachella, CA 92236",Vacant,0,Surplus Land,37.3,Part of 37.3 Acre Property
COACHELLA,RIVERSIDE,2020,767-721-030,"SE Corner of Ave 50 + Calhoun St., Coachella, CA 92236",Vacant,0,Surplus Land,37.3,Part of 37.3 Acre Property
COACHELLA,RIVERSIDE,2020,767-721-031,"SE Corner of Ave 50 + Calhoun St., Coachella, CA 92236",Vacant,0,Surplus Land,37.3,Part of 37.3 Acre Property
COACHELLA,RIVERSIDE,2020,767-721-032,"SE Corner of Ave 50 + Calhoun St., Coachella, CA 92236",Vacant,0,Surplus Land,37.3,Part of 37.3 Acre Property
COACHELLA,RIVERSIDE,2020,767-721-033,"SE Corner of Ave 50 + Calhoun St., Coachella, CA 92236",Vacant,0,Surplus Land,37.3,Part of 37.3 Acre Property
COACHELLA,RIVERSIDE,2020,767-721-034,"SE Corner of Ave 50 + Calhoun St., Coachella, CA 92236",Vacant,0,Surplus Land,37.3,Part of 37.3 Acre Property
COACHELLA,RIVERSIDE,2020,767-721-035,"SE Corner of Ave 50 + Calhoun St., Coachella, CA 92236",Vacant,0,Surplus Land,37.3,Part of 37.3 Acre Property
COACHELLA,RIVERSIDE,2020,767-721-036,"SE Corner of Ave 50 + Calhoun St., Coachella, CA 92236",Vacant,0,Surplus Land,37.3,Part of 37.3 Acre Property
COACHELLA,RIVERSIDE,2020,767-721-039,"SE Corner of Ave 50 + Calhoun St., Coachella, CA 92236",Vacant,0,Surplus Land,37.3,Part of 37.3 Acre Property
COACHELLA,RIVERSIDE,2020,767-721-040,"SE Corner of Ave 50 + Calhoun St., Coachella, CA 92236",Vacant,0,Surplus Land,37.3,Part of 37.3 Acre Property
COACHELLA,RIVERSIDE,2020,767-721-041,"SE Corner of Ave 50 + Calhoun St., Coachella, CA 92236",Vacant,0,Surplus Land,37.3,Part of 37.3 Acre Property
COACHELLA,RIVERSIDE,2020,767-721-042,"SE Corner of Ave 50 + Calhoun St., Coachella, CA 92236",Vacant,0,Surplus Land,37.3,Part of 37.3 Acre Property
COACHELLA,RIVERSIDE,2020,767-721-043,"SE Corner of Ave 50 + Calhoun St., Coachella, CA 92236",Vacant,0,Surplus Land,37.3,Part of 37.3 Acre Property
COACHELLA,RIVERSIDE,2020,767-721-044,"SE Corner of Ave 50 + Calhoun St., Coachella, CA 92236",Vacant,0,Surplus Land,37.3,Part of 37.3 Acre Property
COACHELLA,RIVERSIDE,2020,767-721-045,"SE Corner of Ave 50 + Calhoun St., Coachella, CA 92236",Vacant,0,Surplus Land,37.3,Part of 37.3 Acre Property
COACHELLA,RIVERSIDE,2020,767-722-001,"SE Corner of Ave 50 + Calhoun St., Coachella, CA 92236",Vacant,0,Surplus Land,37.3,Part of 37.3 Acre Property
COACHELLA,RIVERSIDE,2020,767-722-002,"SE Corner of Ave 50 + Calhoun St., Coachella, CA 92236",Vacant,0,Surplus Land,37.3,Part of 37.3 Acre Property
COACHELLA,RIVERSIDE,2020,767-722-003,"SE Corner of Ave 50 + Calhoun St., Coachella, CA 92236",Vacant,0,Surplus Land,37.3,Part of 37.3 Acre Property
COACHELLA,RIVERSIDE,2020,767-722-004,"SE Corner of Ave 50 + Calhoun St., Coachella, CA 92236",Vacant,0,Surplus Land,37.3,Part of 37.3 Acre Property
COACHELLA,RIVERSIDE,2020,767-722-005,"SE Corner of Ave 50 + Calhoun St., Coachella, CA 92236",Vacant,0,Surplus Land,37.3,Part of 37.3 Acre Property
COACHELLA,RIVERSIDE,2020,767-722-006,"SE Corner of Ave 50 + Calhoun St., Coachella, CA 92236",Vacant,0,Surplus Land,37.3,Part of 37.3 Acre Property
COACHELLA,RIVERSIDE,2020,767-722-007,"SE Corner of Ave 50 + Calhoun St., Coachella, CA 92236",Vacant,0,Surplus Land,37.3,Part of 37.3 Acre Property
COACHELLA,RIVERSIDE,2020,767-722-008,"SE Corner of Ave 50 + Calhoun St., Coachella, CA 92236",Vacant,0,Surplus Land,37.3,Part of 37.3 Acre Property
COACHELLA,RIVERSIDE,2020,767-722-009,"SE Corner of Ave 50 + Calhoun St., Coachella, CA 92236",Vacant,0,Surplus Land,37.3,Part of 37.3 Acre Property
COACHELLA,RIVERSIDE,2020,767-722-010,"SE Corner of Ave 50 + Calhoun St., Coachella, CA 92236",Vacant,0,Surplus Land,37.3,Part of 37.3 Acre Property
COACHELLA,RIVERSIDE,2020,767-722-011,"SE Corner of Ave 50 + Calhoun St., Coachella, CA 92236",Vacant,0,Surplus Land,37.3,Part of 37.3 Acre Property
COACHELLA,RIVERSIDE,2020,767-722-012,"SE Corner of Ave 50 + Calhoun St., Coachella, CA 92236",Vacant,0,Surplus Land,37.3,Part of 37.3 Acre Property
COACHELLA,RIVERSIDE,2020,767-722-013,"SE Corner of Ave 50 + Calhoun St., Coachella, CA 92236",Vacant,0,Surplus Land,37.3,Part of 37.3 Acre Property
COACHELLA,RIVERSIDE,2020,767-722-014,"SE Corner of Ave 50 + Calhoun St., Coachella, CA 92236",Vacant,0,Surplus Land,37.3,Part of 37.3 Acre Property
COACHELLA,RIVERSIDE,2020,767-722-015,"SE Corner of Ave 50 + Calhoun St., Coachella, CA 92236",Vacant,0,Surplus Land,37.3,Part of 37.3 Acre Property
COACHELLA,RIVERSIDE,2020,767-722-016,"SE Corner of Ave 50 + Calhoun St., Coachella, CA 92236",Vacant,0,Surplus Land,37.3,Part of 37.3 Acre Property
COACHELLA,RIVERSIDE,2020,767-730-001,"SE Corner of Ave 50 + Calhoun St., Coachella, CA 92236",Vacant,0,Surplus Land,37.3,Part of 37.3 Acre Property
COACHELLA,RIVERSIDE,2020,767-730-002,"SE Corner of Ave 50 + Calhoun St., Coachella, CA 92236",Vacant,0,Surplus Land,37.3,Part of 37.3 Acre Property
COACHELLA,RIVERSIDE,2020,767-730-003,"SE Corner of Ave 50 + Calhoun St., Coachella, CA 92236",Vacant,0,Surplus Land,37.3,Part of 37.3 Acre Property
COACHELLA,RIVERSIDE,2020,767-730-004,"SE Corner of Ave 50 + Calhoun St., Coachella, CA 92236",Vacant,0,Surplus Land,37.3,Part of 37.3 Acre Property
COACHELLA,RIVERSIDE,2020,767-730-005,"SE Corner of Ave 50 + Calhoun St., Coachella, CA 92236",Vacant,0,Surplus Land,37.3,Part of 37.3 Acre Property
COACHELLA,RIVERSIDE,2020,767-730-006,"SE Corner of Ave 50 + Calhoun St., Coachella, CA 92236",Vacant,0,Surplus Land,37.3,Part of 37.3 Acre Property
COACHELLA,RIVERSIDE,2020,767-730-007,"SE Corner of Ave 50 + Calhoun St., Coachella, CA 92236",Vacant,0,Surplus Land,37.3,Part of 37.3 Acre Property
COACHELLA,RIVERSIDE,2020,767-730-008,"SE Corner of Ave 50 + Calhoun St., Coachella, CA 92236",Vacant,0,Surplus Land,37.3,Part of 37.3 Acre Property
COACHELLA,RIVERSIDE,2020,767-730-009,"SE Corner of Ave 50 + Calhoun St., Coachella, CA 92236",Vacant,0,Surplus Land,37.3,Part of 37.3 Acre Property
COACHELLA,RIVERSIDE,2020,767-730-010,"SE Corner of Ave 50 + Calhoun St., Coachella, CA 92236",Vacant,0,Surplus Land,37.3,Part of 37.3 Acre Property
COACHELLA,RIVERSIDE,2020,767-730-011,"SE Corner of Ave 50 + Calhoun St., Coachella, CA 92236",Vacant,0,Surplus Land,37.3,Part of 37.3 Acre Property
COACHELLA,RIVERSIDE,2020,767-730-012,"SE Corner of Ave 50 + Calhoun St., Coachella, CA 92236",Vacant,0,Surplus Land,37.3,Part of 37.3 Acre Property
COACHELLA,RIVERSIDE,2020,767-730-013,"SE Corner of Ave 50 + Calhoun St., Coachella, CA 92236",Vacant,0,Surplus Land,37.3,Part of 37.3 Acre Property
COACHELLA,RIVERSIDE,2020,767-730-014,"SE Corner of Ave 50 + Calhoun St., Coachella, CA 92236",Vacant,0,Surplus Land,37.3,Part of 37.3 Acre Property
COACHELLA,RIVERSIDE,2020,767-730-016,"SE Corner of Ave 50 + Calhoun St., Coachella, CA 92236",Vacant,0,Surplus Land,37.3,Part of 37.3 Acre Property
COACHELLA,RIVERSIDE,2020,767-730-017,"SE Corner of Ave 50 + Calhoun St., Coachella, CA 92236",Vacant,0,Surplus Land,37.3,Part of 37.3 Acre Property
COACHELLA,RIVERSIDE,2020,767-730-018,"SE Corner of Ave 50 + Calhoun St., Coachella, CA 92236",Vacant,0,Surplus Land,37.3,Part of 37.3 Acre Property
COACHELLA,RIVERSIDE,2020,767-730-019,"SE Corner of Ave 50 + Calhoun St., Coachella, CA 92236",Vacant,0,Surplus Land,37.3,Part of 37.3 Acre Property
COACHELLA,RIVERSIDE,2020,767-730-020,"SE Corner of Ave 50 + Calhoun St., Coachella, CA 92236",Vacant,0,Surplus Land,37.3,Part of 37.3 Acre Property
COACHELLA,RIVERSIDE,2020,767-730-021,"SE Corner of Ave 50 + Calhoun St., Coachella, CA 92236",Vacant,0,Surplus Land,37.3,Part of 37.3 Acre Property
COACHELLA,RIVERSIDE,2020,767-730-022,"SE Corner of Ave 50 + Calhoun St., Coachella, CA 92236",Vacant,0,Surplus Land,37.3,Part of 37.3 Acre Property
COACHELLA,RIVERSIDE,2020,767-730-023,"SE Corner of Ave 50 + Calhoun St., Coachella, CA 92236",Vacant,0,Surplus Land,37.3,Part of 37.3 Acre Property
COACHELLA,RIVERSIDE,2020,767-730-024,"SE Corner of Ave 50 + Calhoun St., Coachella, CA 92236",Vacant,0,Surplus Land,37.3,Part of 37.3 Acre Property
COACHELLA,RIVERSIDE,2020,767-730-025,"SE Corner of Ave 50 + Calhoun St., Coachella, CA 92236",Vacant,0,Surplus Land,37.3,Part of 37.3 Acre Property
COACHELLA,RIVERSIDE,2020,767-730-026,"SE Corner of Ave 50 + Calhoun St., Coachella, CA 92236",Vacant,0,Surplus Land,37.3,Part of 37.3 Acre Property
COACHELLA,RIVERSIDE,2020,767-730-027,"SE Corner of Ave 50 + Calhoun St., Coachella, CA 92236",Vacant,0,Surplus Land,37.3,Part of 37.3 Acre Property
COACHELLA,RIVERSIDE,2020,767-730-028,"SE Corner of Ave 50 + Calhoun St., Coachella, CA 92236",Vacant,0,Surplus Land,37.3,Part of 37.3 Acre Property
COACHELLA,RIVERSIDE,2020,767-730-029,"SE Corner of Ave 50 + Calhoun St., Coachella, CA 92236",Vacant,0,Surplus Land,37.3,Part of 37.3 Acre Property
COACHELLA,RIVERSIDE,2020,767-730-030,"SE Corner of Ave 50 + Calhoun St., Coachella, CA 92236",Vacant,0,Surplus Land,37.3,Part of 37.3 Acre Property
COACHELLA,RIVERSIDE,2020,767-730-031,"SE Corner of Ave 50 + Calhoun St., Coachella, CA 92236",Vacant,0,Surplus Land,37.3,Part of 37.3 Acre Property
COACHELLA,RIVERSIDE,2020,767-730-032,"SE Corner of Ave 50 + Calhoun St., Coachella, CA 92236",Vacant,0,Surplus Land,37.3,Part of 37.3 Acre Property
COACHELLA,RIVERSIDE,2020,767-730-033,"SE Corner of Ave 50 + Calhoun St., Coachella, CA 92236",Vacant,0,Surplus Land,37.3,Part of 37.3 Acre Property
COACHELLA,RIVERSIDE,2020,767-730-034,"SE Corner of Ave 50 + Calhoun St., Coachella, CA 92236",Vacant,0,Surplus Land,37.3,Part of 37.3 Acre Property
COACHELLA,RIVERSIDE,2020,767-730-035,"SE Corner of Ave 50 + Calhoun St., Coachella, CA 92236",Vacant,0,Surplus Land,37.3,Part of 37.3 Acre Property
COACHELLA,RIVERSIDE,2020,767-730-036,"SE Corner of Ave 50 + Calhoun St., Coachella, CA 92236",Vacant,0,Surplus Land,37.3,Part of 37.3 Acre Property
COACHELLA,RIVERSIDE,2020,767-730-037,"SE Corner of Ave 50 + Calhoun St., Coachella, CA 92236",Vacant,0,Surplus Land,37.3,Part of 37.3 Acre Property
COACHELLA,RIVERSIDE,2020,767-730-038,"SE Corner of Ave 50 + Calhoun St., Coachella, CA 92236",Vacant,0,Surplus Land,37.3,Part of 37.3 Acre Property
COACHELLA,RIVERSIDE,2020,767-730-039,"SE Corner of Ave 50 + Calhoun St., Coachella, CA 92236",Vacant,0,Surplus Land,37.3,Part of 37.3 Acre Property
COACHELLA,RIVERSIDE,2020,767-730-040,"SE Corner of Ave 50 + Calhoun St., Coachella, CA 92236",Vacant,0,Surplus Land,37.3,Part of 37.3 Acre Property
COACHELLA,RIVERSIDE,2020,767-730-041,"SE Corner of Ave 50 + Calhoun St., Coachella, CA 92236",Vacant,0,Surplus Land,37.3,Part of 37.3 Acre Property
COACHELLA,RIVERSIDE,2020,767-730-042,"SE Corner of Ave 50 + Calhoun St., Coachella, CA 92236",Vacant,0,Surplus Land,37.3,Part of 37.3 Acre Property
COACHELLA,RIVERSIDE,2020,767-730-043,"SE Corner of Ave 50 + Calhoun St., Coachella, CA 92236",Vacant,0,Surplus Land,37.3,Part of 37.3 Acre Property
COACHELLA,RIVERSIDE,2020,767-730-044,"SE Corner of Ave 50 + Calhoun St., Coachella, CA 92236",Vacant,0,Surplus Land,37.3,Part of 37.3 Acre Property
COACHELLA,RIVERSIDE,2020,767-730-045,"SE Corner of Ave 50 + Calhoun St., Coachella, CA 92236",Vacant,0,Surplus Land,37.3,Part of 37.3 Acre Property
COACHELLA,RIVERSIDE,2020,767-730-046,"SE Corner of Ave 50 + Calhoun St., Coachella, CA 92236",Vacant,0,Surplus Land,37.3,Part of 37.3 Acre Property
COACHELLA,RIVERSIDE,2020,767-730-047,"SE Corner of Ave 50 + Calhoun St., Coachella, CA 92236",Vacant,0,Surplus Land,37.3,Part of 37.3 Acre Property
COACHELLA,RIVERSIDE,2020,767-730-048,"SE Corner of Ave 50 + Calhoun St., Coachella, CA 92236",Vacant,0,Surplus Land,37.3,Part of 37.3 Acre Property
COACHELLA,RIVERSIDE,2020,767-730-049,"SE Corner of Ave 50 + Calhoun St., Coachella, CA 92236",Vacant,0,Surplus Land,37.3,Part of 37.3 Acre Property
COACHELLA,RIVERSIDE,2020,767-730-050,"SE Corner of Ave 50 + Calhoun St., Coachella, CA 92236",Vacant,0,Surplus Land,37.3,Part of 37.3 Acre Property
COACHELLA,RIVERSIDE,2020,767-731-008,"SE Corner of Ave 50 + Calhoun St., Coachella, CA 92236",Vacant,0,Surplus Land,37.3,Part of 37.3 Acre Property
COACHELLA,RIVERSIDE,2020,767-731-009,"SE Corner of Ave 50 + Calhoun St., Coachella, CA 92236",Vacant,0,Surplus Land,37.3,Part of 37.3 Acre Property
COACHELLA,RIVERSIDE,2020,767-731-010,"SE Corner of Ave 50 + Calhoun St., Coachella, CA 92236",Vacant,0,Surplus Land,37.3,Part of 37.3 Acre Property
COACHELLA,RIVERSIDE,2020,767-731-011,"SE Corner of Ave 50 + Calhoun St., Coachella, CA 92236",Vacant,0,Surplus Land,37.3,Part of 37.3 Acre Property
COACHELLA,RIVERSIDE,2020,767-731-012,"SE Corner of Ave 50 + Calhoun St., Coachella, CA 92236",Vacant,0,Surplus Land,37.3,Part of 37.3 Acre Property
COACHELLA,RIVERSIDE,2020,767-731-013,"SE Corner of Ave 50 + Calhoun St., Coachella, CA 92236",Vacant,0,Surplus Land,37.3,Part of 37.3 Acre Property
COACHELLA,RIVERSIDE,2020,767-731-014,"SE Corner of Ave 50 + Calhoun St., Coachella, CA 92236",Vacant,0,Surplus Land,37.3,Part of 37.3 Acre Property
COACHELLA,RIVERSIDE,2020,767-731-015,"SE Corner of Ave 50 + Calhoun St., Coachella, CA 92236",Vacant,0,Surplus Land,37.3,Part of 37.3 Acre Property
COACHELLA,RIVERSIDE,2020,767-731-016,"SE Corner of Ave 50 + Calhoun St., Coachella, CA 92236",Vacant,0,Surplus Land,37.3,Part of 37.3 Acre Property
COACHELLA,RIVERSIDE,2020,767-731-017,"SE Corner of Ave 50 + Calhoun St., Coachella, CA 92236",Vacant,0,Surplus Land,37.3,Part of 37.3 Acre Property
COACHELLA,RIVERSIDE,2021,767-720-001,"SE Corner of Ave 50 + Calhoun St., Coachella, CA 92236",Vacant,0,Surplus Land,37.3,Part of 37.3 Acre Property and sold in 2022
COACHELLA,RIVERSIDE,2021,767-720-002,"SE Corner of Ave 50 + Calhoun St., Coachella, CA 92236",Vacant,0,Surplus Land,37.3,Part of 37.3 Acre Property and sold in 2023
COACHELLA,RIVERSIDE,2021,767-720-003,"SE Corner of Ave 50 + Calhoun St., Coachella, CA 92236",Vacant,0,Surplus Land,37.3,Part of 37.3 Acre Property and sold in 2024
COACHELLA,RIVERSIDE,2021,767-720-004,"SE Corner of Ave 50 + Calhoun St., Coachella, CA 92236",Vacant,0,Surplus Land,37.3,Part of 37.3 Acre Property and sold in 2025
COACHELLA,RIVERSIDE,2021,767-720-005,"SE Corner of Ave 50 + Calhoun St., Coachella, CA 92236",Vacant,0,Surplus Land,37.3,Part of 37.3 Acre Property and sold in 2026
COACHELLA,RIVERSIDE,2021,767-720-006,"SE Corner of Ave 50 + Calhoun St., Coachella, CA 92236",Vacant,0,Surplus Land,37.3,Part of 37.3 Acre Property and sold in 2027
COACHELLA,RIVERSIDE,2021,767-720-007,"SE Corner of Ave 50 + Calhoun St., Coachella, CA 92236",Vacant,0,Surplus Land,37.3,Part of 37.3 Acre Property and sold in 2028
COACHELLA,RIVERSIDE,2021,767-720-008,"SE Corner of Ave 50 + Calhoun St., Coachella, CA 92236",Vacant,0,Surplus Land,37.3,Part of 37.3 Acre Property and sold in 2029
COACHELLA,RIVERSIDE,2021,767-720-009,"SE Corner of Ave 50 + Calhoun St., Coachella, CA 92236",Vacant,0,Surplus Land,37.3,Part of 37.3 Acre Property and sold in 2030
COACHELLA,RIVERSIDE,2021,767-720-010,"SE Corner of Ave 50 + Calhoun St., Coachella, CA 92236",Vacant,0,Surplus Land,37.3,Part of 37.3 Acre Property and sold in 2031
COACHELLA,RIVERSIDE,2021,767-720-011,"SE Corner of Ave 50 + Calhoun St., Coachella, CA 92236",Vacant,0,Surplus Land,37.3,Part of 37.3 Acre Property and sold in 2032
COACHELLA,RIVERSIDE,2021,767-720-012,"SE Corner of Ave 50 + Calhoun St., Coachella, CA 92236",Vacant,0,Surplus Land,37.3,Part of 37.3 Acre Property and sold in 2033
