JURISDICTION,COUNTY,YEAR,APN,STREET_ADDRESS,PROJECT_NAME,JURS_TRACKING_ID,REZONE_DT,VLOW_INCOME,LOW_INCOME,MOD_INCOME,ABOVE_MOD_INCOME,SHORTFALL_DESC,PARCEL_SIZE,GEN_PLAN_DESIGNATION,ZONING,MIN_DENSITY_ALLOWED,MAX_DENSITY_ALLOWED,REALISTIC_CAPACITY,PARCEL_VACANT_NONVACANT,PARCEL_DESC
ENCINITAS,SAN DIEGO,2019,2561711300,682 Clark Ave,MEYER PROPOSAL,Ord No. 2019-04,3/27/2019,,19,,,Unaccommodated Need,0.75,R5/ R-30 OL,R5/ R-30 OL,25 DU/AC,30 DU/AC,19,Non-Vacant,"single-story
residence"
ENCINITAS,SAN DIEGO,2019,2561711400,672 Clark Ave,MEYER PROPOSAL,Ord No. 2019-04,3/27/2019,,16,,,Unaccommodated Need,0.63,R5/ R-30 OL,R5/ R-30 OL,25 DU/AC,30 DU/AC,16,Non-Vacant,"single-story
residence"
ENCINITAS,SAN DIEGO,2019,2561711500,662 Clark Ave,MEYER PROPOSAL,Ord No. 2019-04,3/27/2019,,36,,,Unaccommodated Need,1.41,R5/ R-30 OL,R5/ R-30 OL,25 DU/AC,30 DU/AC,36,Non-Vacant,outdoor storage area associated with agricultural uses
ENCINITAS,SAN DIEGO,2019,2561712000,556 Union St,MEYER PROPOSAL,Ord No. 2019-04,3/27/2019,,15,,,Unaccommodated Need,0.6,R3/ R30 OL,R3/ R30 OL,25 DU/AC,30 DU/AC,15,Non-Vacant,flower growing business and associated greenhouse and sales temporary structures
ENCINITAS,SAN DIEGO,2019,2561712100,556 Union St,MEYER PROPOSAL,Ord No. 2019-04,3/27/2019,,10,,,Unaccommodated Need,0.38,R3/ R30 OL,R3/ R30 OL,25 DU/AC,30 DU/AC,10,Non-Vacant,SEE ABOVE
ENCINITAS,SAN DIEGO,2019,2561712400,556 Union St,MEYER PROPOSAL,Ord No. 2019-04,3/27/2019,,67,,,Unaccommodated Need,2.65,R3/ R30 OL,R3/ R30 OL,25 DU/AC,30 DU/AC,67,Non-Vacant,SEE ABOVE
ENCINITAS,SAN DIEGO,2020,2592312800,Rancho Santa Fe Dr,RANCHO SANTA FE PARCELS (GAFFNEY/ GOODSEN),Ord No. 2019-04,3/27/2019,,89,,,Unaccommodated Need,3.57,RR2/ R-30  OL,RR2/ R-30  OL,25 DU/AC,30 DU/AC,89,Non-Vacant,three residential structures across multiple parcels
ENCINITAS,SAN DIEGO,2020,2592313000,Rancho Santa Fe Dr,RANCHO SANTA FE PARCELS (GAFFNEY/ GOODSEN),Ord No. 2019-04,3/27/2019,,13,,,Unaccommodated Need,0.54,RR2/ R-30  OL,RR2/ R-30  OL,25 DU/AC,30 DU/AC,13,Non-Vacant,SEE ABOVE
ENCINITAS,SAN DIEGO,2020,2592313100,Rancho Santa Fe Dr,RANCHO SANTA FE PARCELS (GAFFNEY/ GOODSEN),Ord No. 2019-04,3/27/2019,,11,,,Unaccommodated Need,0.46,RR2/ R-30  OL,RR2/ R-30  OL,25 DU/AC,30 DU/AC,11,Non-Vacant,SEE ABOVE
ENCINITAS,SAN DIEGO,2020,2581308200,Quail Gardens Drive,BALDWIN & SONS PROPERTIES,Ord No. 2019-04,3/27/2019,,22,,,Unaccommodated Need,0.88,R5/ R-30 OL,R5/ R-30 OL,25 DU/AC,30 DU/AC,22,Non-Vacant,UTILITY EASEMENT
ENCINITAS,SAN DIEGO,2020,2581309100,Mays Hollow Lane,BALDWIN & SONS PROPERTIES,Ord No. 2019-04,3/27/2019,,8,,,Unaccommodated Need,0.33,R5/ R-30 OL,R5/ R-30 OL,25 DU/AC,30 DU/AC,8,Non-Vacant,SEE ABOVE
ENCINITAS,SAN DIEGO,2020,2160412000,1950 HWY 101,JACKEL PROPERTIES,Ord No. 2019-04,3/27/2019,,33,,,Unaccommodated Need,2.97,North 101 Corridor Specific Plan,N-LVSC,25 DU/AC,30 DU/AC,33,Non-Vacant,VACANT RESTAURANT AND SURFACE PARKING LOT
ENCINITAS,SAN DIEGO,2020,2546121200,1150 Quail Gardens Drive,ECHTER PROPERTY,Ord No. 2019-04,3/27/2019,,246,,,Unaccommodated Need,9.85,Encinitas Ranch Specific Plan,ER-AG,25 DU/AC,30 DU/AC,246,Non-Vacant,temporary greenhouse agricultural structures along with an existing single-family residential structure
ENCINITAS,SAN DIEGO,2020,"2581309700, 2581309800",630 Encinitas Boulevard,SUNSHINE GARDENS,Ord No. 2019-04,3/27/2019,,84,,,Unaccommodated Need,3.39,OP/ R-30 OL,OP/ R-30 OL,25 DU/AC,30 DU/AC,84,Non-Vacant,"single-story commercial building, a paved surface parking lot, and a variety of retail uses in both permanent and temporary structures"
ENCINITAS,SAN DIEGO,2020,2160520100,1967 N Vulcan Ave,VULCAN & LA COSTA,Ord No. 2019-04,3/27/2019,,50,,,Unaccommodated Need,2,R3/ R30 OL,R3/ R30 OL,25 DU/AC,30 DU/AC,50,Non-Vacant,temporary agricultural structures such as greenhouses
ENCINITAS,SAN DIEGO,2020,2582411000,1050 Regal Road,SEACOAST CHURCH,Ord No. 2019-04,3/27/2019,,35,,,Unaccommodated Need,1.41,R11/ R-30 OL,R11/ R-30 OL,25 DU/AC,30 DU/AC,35,Non-Vacant,"four existing 1 and
2-story structures associated with the existing church facility on-site, two paved parking lots"
ENCINITAS,SAN DIEGO,2020,2612003700,2951 Manchester Avenue,"MANCHESTER AVENUE
WEST SITES",Ord No. 2019-04,3/27/2019,,13,,,Unaccommodated Need,0.54,R11/ R-30 OL,R11/ R-30 OL,25 DU/AC,30 DU/AC,13,Non-Vacant,ONE SINGLE STORY SINGLE-FAMILY RESIDENCE
ENCINITAS,SAN DIEGO,2020,2612003900,2951 Manchester Avenue,"MANCHESTER AVENUE
WEST SITES",Ord No. 2019-04,3/27/2019,,16,,,Unaccommodated Need,0.63,R11/ R-30 OL,R11/ R-30 OL,25 DU/AC,30 DU/AC,16,Non-Vacant,ONE SINGLE STORY SINGLE-FAMILY RESIDENCE
ENCINITAS,SAN DIEGO,2020,2580521200,364 2nd St,HARRISON PROPERTIES,Ord No. 2019-04,3/27/2019,,7,,,Unaccommodated Need,0.65,DESP-VCM,DESP-VCM/ R-30 OL,25 DU/AC,30 DU/AC,7,Non-Vacant,"2-story office building and a surface parking lot - Existing operational
businesses"
ENCINITAS,SAN DIEGO,2020,2580350700,371 2nd St,HARRISON PROPERTIES,Ord No. 2019-04,3/27/2019,,14,,,Unaccommodated Need,1.26,DESP-VCM,DESP-VCM/ R-30 OL,25 DU/AC,30 DU/AC,14,Non-Vacant,"2-story office building, one 2-story residential structure, and a surface parking lot - Existing operational
businesses"
ENCINITAS,SAN DIEGO,2020,2561711300,682 Clark Ave,MEYER PROPOSAL,Ord No. 2019-04,3/27/2019,,19,,,Unaccommodated Need,0.75,R5/ R-30 OL,R5/ R-30 OL,25 DU/AC,30 DU/AC,19,Non-Vacant,"single-story
residence"
ENCINITAS,SAN DIEGO,2020,2561711400,672 Clark Ave,MEYER PROPOSAL,Ord No. 2019-04,3/27/2019,,16,,,Unaccommodated Need,0.63,R5/ R-30 OL,R5/ R-30 OL,25 DU/AC,30 DU/AC,16,Non-Vacant,"single-story
residence"
ENCINITAS,SAN DIEGO,2020,2561711500,662 Clark Ave,MEYER PROPOSAL,Ord No. 2019-04,3/27/2019,,36,,,Unaccommodated Need,1.41,R5/ R-30 OL,R5/ R-30 OL,25 DU/AC,30 DU/AC,36,Non-Vacant,outdoor storage area associated with agricultural uses
ENCINITAS,SAN DIEGO,2020,2561712000,556 Union St,MEYER PROPOSAL,Ord No. 2019-04,3/27/2019,,15,,,Unaccommodated Need,0.6,R3/ R30 OL,R3/ R30 OL,25 DU/AC,30 DU/AC,15,Non-Vacant,flower growing business and associated greenhouse and sales temporary structures
ENCINITAS,SAN DIEGO,2020,2561712100,556 Union St,MEYER PROPOSAL,Ord No. 2019-04,3/27/2019,,10,,,Unaccommodated Need,0.38,R3/ R30 OL,R3/ R30 OL,25 DU/AC,30 DU/AC,10,Non-Vacant,SEE ABOVE
ENCINITAS,SAN DIEGO,2020,2561712400,556 Union St,MEYER PROPOSAL,Ord No. 2019-04,3/27/2019,,67,,,Unaccommodated Need,2.65,R3/ R30 OL,R3/ R30 OL,25 DU/AC,30 DU/AC,67,Non-Vacant,SEE ABOVE
ENCINITAS,SAN DIEGO,2021,2592312800,Rancho Santa Fe Dr,RANCHO SANTA FE PARCELS (GAFFNEY/ GOODSEN),Ord No. 2019-04,3/27/2019,,89,,,Unaccommodated Need,3.57,RR2/ R-30  OL,RR2/ R-30  OL,25 DU/AC,30 DU/AC,89,Non-Vacant,three residential structures across multiple parcels
ENCINITAS,SAN DIEGO,2021,2592313000,Rancho Santa Fe Dr,RANCHO SANTA FE PARCELS (GAFFNEY/ GOODSEN),Ord No. 2019-04,3/27/2019,,13,,,Unaccommodated Need,0.54,RR2/ R-30  OL,RR2/ R-30  OL,25 DU/AC,30 DU/AC,13,Non-Vacant,SEE ABOVE
ENCINITAS,SAN DIEGO,2021,2592313100,Rancho Santa Fe Dr,RANCHO SANTA FE PARCELS (GAFFNEY/ GOODSEN),Ord No. 2019-04,3/27/2019,,11,,,Unaccommodated Need,0.46,RR2/ R-30  OL,RR2/ R-30  OL,25 DU/AC,30 DU/AC,11,Non-Vacant,SEE ABOVE
ENCINITAS,SAN DIEGO,2021,2581308200,Quail Gardens Drive,BALDWIN & SONS PROPERTIES,Ord No. 2019-04,3/27/2019,,22,,,Unaccommodated Need,0.88,R5/ R-30 OL,R5/ R-30 OL,25 DU/AC,30 DU/AC,22,Non-Vacant,UTILITY EASEMENT
ENCINITAS,SAN DIEGO,2021,2581309100,Mays Hollow Lane,BALDWIN & SONS PROPERTIES,Ord No. 2019-04,3/27/2019,,8,,,Unaccommodated Need,0.33,R5/ R-30 OL,R5/ R-30 OL,25 DU/AC,30 DU/AC,8,Non-Vacant,SEE ABOVE
ENCINITAS,SAN DIEGO,2021,2160412000,1950 HWY 101,JACKEL PROPERTIES,Ord No. 2019-04,3/27/2019,,33,,,Unaccommodated Need,2.97,North 101 Corridor Specific Plan,N-LVSC,25 DU/AC,30 DU/AC,33,Non-Vacant,VACANT RESTAURANT AND SURFACE PARKING LOT
ENCINITAS,SAN DIEGO,2021,"2581309700, 2581309800",630 Encinitas Boulevard,SUNSHINE GARDENS,Ord No. 2019-04,3/27/2019,,84,,,Unaccommodated Need,3.39,OP/ R-30 OL,OP/ R-30 OL,25 DU/AC,30 DU/AC,84,Non-Vacant,"single-story commercial building, a paved surface parking lot, and a variety of retail uses in both permanent and temporary structures"
ENCINITAS,SAN DIEGO,2021,2160520100,1967 N Vulcan Ave,VULCAN & LA COSTA,Ord No. 2019-04,3/27/2019,,50,,,Unaccommodated Need,2,R3/ R30 OL,R3/ R30 OL,25 DU/AC,30 DU/AC,50,Non-Vacant,temporary agricultural structures such as greenhouses
ENCINITAS,SAN DIEGO,2021,2582411000,1050 Regal Road,SEACOAST CHURCH,Ord No. 2019-04,3/27/2019,,42,,,Unaccommodated Need,1.41,R11/ R-30 OL,R11/ R-30 OL,25 DU/AC,30 DU/AC,42,Non-Vacant,"four existing 1 and
2-story structures associated with the existing church facility on-site, two paved parking lots"
ENCINITAS,SAN DIEGO,2021,2612003700,2951 Manchester Avenue,"MANCHESTER AVENUE
WEST SITES",Ord No. 2019-04,3/27/2019,,16,,,Unaccommodated Need,0.54,R11/ R-30 OL,R11/ R-30 OL,25 DU/AC,30 DU/AC,16,Non-Vacant,ONE SINGLE STORY SINGLE-FAMILY RESIDENCE
ENCINITAS,SAN DIEGO,2021,2612003900,2951 Manchester Avenue,"MANCHESTER AVENUE
WEST SITES",Ord No. 2019-04,3/27/2019,,19,,,Unaccommodated Need,0.63,R11/ R-30 OL,R11/ R-30 OL,25 DU/AC,30 DU/AC,19,Non-Vacant,ONE SINGLE STORY SINGLE-FAMILY RESIDENCE
ENCINITAS,SAN DIEGO,2021,2580521200,364 2nd St,HARRISON PROPERTIES,Ord No. 2019-04,3/27/2019,,9,,,Unaccommodated Need,0.65,DESP-VCM,DESP-VCM/ R-30 OL,25 DU/AC,30 DU/AC,9,Non-Vacant,"2-story office building and a surface parking lot - Existing operational
businesses"
ENCINITAS,SAN DIEGO,2021,2580350700,371 2nd St,HARRISON PROPERTIES,Ord No. 2019-04,3/27/2019,,16,,,Unaccommodated Need,1.26,DESP-VCM,DESP-VCM/ R-30 OL,25 DU/AC,30 DU/AC,16,Non-Vacant,"2-story office building, one 2-story residential structure, and a surface parking lot - Existing operational
businesses"
ENCINITAS,SAN DIEGO,2021,2561711300,682 Clark Ave,MEYER PROPOSAL,Ord No. 2019-04,3/27/2019,,23,,,Unaccommodated Need,0.75,R5/ R-30 OL,R5/ R-30 OL,25 DU/AC,30 DU/AC,23,Non-Vacant,"single-story
residence"
ENCINITAS,SAN DIEGO,2021,2561711400,672 Clark Ave,MEYER PROPOSAL,Ord No. 2019-04,3/27/2019,,19,,,Unaccommodated Need,0.63,R5/ R-30 OL,R5/ R-30 OL,25 DU/AC,30 DU/AC,19,Non-Vacant,"single-story
residence"
ENCINITAS,SAN DIEGO,2021,2561711500,662 Clark Ave,MEYER PROPOSAL,Ord No. 2019-04,3/27/2019,,42,,,Unaccommodated Need,1.41,R5/ R-30 OL,R5/ R-30 OL,25 DU/AC,30 DU/AC,42,Non-Vacant, outdoor storage area associated with agricultural uses
ENCINITAS,SAN DIEGO,2021,2561712000,556 Union St,MEYER PROPOSAL,Ord No. 2019-04,3/27/2019,,18,,,Unaccommodated Need,0.6,R3/ R30 OL,R3/ R30 OL,25 DU/AC,30 DU/AC,18,Non-Vacant,flower growing business and associated greenhouse and sales temporary structures
ENCINITAS,SAN DIEGO,2021,2561712100,556 Union St,MEYER PROPOSAL,Ord No. 2019-04,3/27/2019,,11,,,Unaccommodated Need,0.38,R3/ R30 OL,R3/ R30 OL,25 DU/AC,30 DU/AC,11,Non-Vacant,SEE ABOVE
ENCINITAS,SAN DIEGO,2021,2561712400,556 Union St,MEYER PROPOSAL,Ord No. 2019-04,3/27/2019,,82,,,Unaccommodated Need,2.75,R3/ R30 OL,R3/ R30 OL,25 DU/AC,30 DU/AC,82,Non-Vacant,SEE ABOVE
ENCINITAS,SAN DIEGO,2021,2561711400,672 Clark Ave,MEYER PROPOSAL,Ord No. 2019-04,3/27/2019,,19,,,Unaccommodated Need,0.63,R5/ R-30 OL,R5/ R-30 OL,25 DU/AC,30 DU/AC,19,Non-Vacant,"single-story
residence"
ENCINITAS,SAN DIEGO,2021,2561711500,662 Clark Ave,MEYER PROPOSAL,Ord No. 2019-04,3/27/2019,,42,,,Unaccommodated Need,1.41,R5/ R-30 OL,R5/ R-30 OL,25 DU/AC,30 DU/AC,42,Non-Vacant, outdoor storage area associated with agricultural uses
ENCINITAS,SAN DIEGO,2021,2561712000,556 Union St,MEYER PROPOSAL,Ord No. 2019-04,3/27/2019,,18,,,Unaccommodated Need,0.6,R3/ R30 OL,R3/ R30 OL,25 DU/AC,30 DU/AC,18,Non-Vacant,flower growing business and associated greenhouse and sales temporary structures
ENCINITAS,SAN DIEGO,2021,2561712100,556 Union St,MEYER PROPOSAL,Ord No. 2019-04,3/27/2019,,11,,,Unaccommodated Need,0.38,R3/ R30 OL,R3/ R30 OL,25 DU/AC,30 DU/AC,11,Non-Vacant,SEE ABOVE
ENCINITAS,SAN DIEGO,2021,2561712400,556 Union St,MEYER PROPOSAL,Ord No. 2019-04,3/27/2019,,82,,,Unaccommodated Need,2.75,R3/ R30 OL,R3/ R30 OL,25 DU/AC,30 DU/AC,82,Non-Vacant,SEE ABOVE
ENCINITAS,SAN DIEGO,2021,2592312800,Rancho Santa Fe Dr,RANCHO SANTA FE PARCELS (GAFFNEY/ GOODSEN),Ord No. 2019-04,3/27/2019,,89,,,Unaccommodated Need,3.57,RR2/ R-30  OL,RR2/ R-30  OL,25 DU/AC,30 DU/AC,89,Non-Vacant,three residential structures across multiple parcels
ENCINITAS,SAN DIEGO,2021,2592313000,Rancho Santa Fe Dr,RANCHO SANTA FE PARCELS (GAFFNEY/ GOODSEN),Ord No. 2019-04,3/27/2019,,13,,,Unaccommodated Need,0.54,RR2/ R-30  OL,RR2/ R-30  OL,25 DU/AC,30 DU/AC,13,Non-Vacant,SEE ABOVE
ENCINITAS,SAN DIEGO,2021,2592313100,Rancho Santa Fe Dr,RANCHO SANTA FE PARCELS (GAFFNEY/ GOODSEN),Ord No. 2019-04,3/27/2019,,11,,,Unaccommodated Need,0.46,RR2/ R-30  OL,RR2/ R-30  OL,25 DU/AC,30 DU/AC,11,Non-Vacant,SEE ABOVE
ENCINITAS,SAN DIEGO,2021,2581308200,Quail Gardens Drive,BALDWIN & SONS PROPERTIES,Ord No. 2019-04,3/27/2019,,22,,,Unaccommodated Need,0.88,R5/ R-30 OL,R5/ R-30 OL,25 DU/AC,30 DU/AC,22,Non-Vacant,UTILITY EASEMENT
ENCINITAS,SAN DIEGO,2021,2581309100,Mays Hollow Lane,BALDWIN & SONS PROPERTIES,Ord No. 2019-04,3/27/2019,,8,,,Unaccommodated Need,0.33,R5/ R-30 OL,R5/ R-30 OL,25 DU/AC,30 DU/AC,8,Non-Vacant,SEE ABOVE
ENCINITAS,SAN DIEGO,2021,2160412000,1950 HWY 101,JACKEL PROPERTIES,Ord No. 2019-04,3/27/2019,,33,,,Unaccommodated Need,2.97,North 101 Corridor Specific Plan,N-LVSC,25 DU/AC,30 DU/AC,33,Non-Vacant,VACANT RESTAURANT AND SURFACE PARKING LOT
ENCINITAS,SAN DIEGO,2021,"2581309700, 2581309800",630 Encinitas Boulevard,SUNSHINE GARDENS,Ord No. 2019-04,3/27/2019,,84,,,Unaccommodated Need,3.39,OP/ R-30 OL,OP/ R-30 OL,25 DU/AC,30 DU/AC,84,Non-Vacant,"single-story commercial building, a paved surface parking lot, and a variety of retail uses in both permanent and temporary structures"
ENCINITAS,SAN DIEGO,2021,2160520100,1967 N Vulcan Ave,VULCAN & LA COSTA,Ord No. 2019-04,3/27/2019,,50,,,Unaccommodated Need,2,R3/ R30 OL,R3/ R30 OL,25 DU/AC,30 DU/AC,50,Non-Vacant,temporary agricultural structures such as greenhouses
ENCINITAS,SAN DIEGO,2021,2582411000,1050 Regal Road,SEACOAST CHURCH,Ord No. 2019-04,3/27/2019,,42,,,Unaccommodated Need,1.41,R11/ R-30 OL,R11/ R-30 OL,25 DU/AC,30 DU/AC,42,Non-Vacant,"four existing 1 and
2-story structures associated with the existing church facility on-site, two paved parking lots"
ENCINITAS,SAN DIEGO,2021,2612003700,2951 Manchester Avenue,"MANCHESTER AVENUE
WEST SITES",Ord No. 2019-04,3/27/2019,,16,,,Unaccommodated Need,0.54,R11/ R-30 OL,R11/ R-30 OL,25 DU/AC,30 DU/AC,16,Non-Vacant,ONE SINGLE STORY SINGLE-FAMILY RESIDENCE
ENCINITAS,SAN DIEGO,2021,2612003900,2951 Manchester Avenue,"MANCHESTER AVENUE
WEST SITES",Ord No. 2019-04,3/27/2019,,19,,,Unaccommodated Need,0.63,R11/ R-30 OL,R11/ R-30 OL,25 DU/AC,30 DU/AC,19,Non-Vacant,ONE SINGLE STORY SINGLE-FAMILY RESIDENCE
ENCINITAS,SAN DIEGO,2021,2580521200,364 2nd St,HARRISON PROPERTIES,Ord No. 2019-04,3/27/2019,,9,,,Unaccommodated Need,0.65,DESP-VCM,DESP-VCM/ R-30 OL,25 DU/AC,30 DU/AC,9,Non-Vacant,"2-story office building and a surface parking lot - Existing operational
businesses"
ENCINITAS,SAN DIEGO,2021,2580350700,371 2nd St,HARRISON PROPERTIES,Ord No. 2019-04,3/27/2019,,16,,,Unaccommodated Need,1.26,DESP-VCM,DESP-VCM/ R-30 OL,25 DU/AC,30 DU/AC,16,Non-Vacant,"2-story office building, one 2-story residential structure, and a surface parking lot - Existing operational
businesses"
ENCINITAS,SAN DIEGO,2021,2561711300,682 Clark Ave,MEYER PROPOSAL,Ord No. 2019-04,3/27/2019,,23,,,Unaccommodated Need,0.75,R5/ R-30 OL,R5/ R-30 OL,25 DU/AC,30 DU/AC,23,Non-Vacant,"single-story
residence"
ENCINITAS,SAN DIEGO,2019,2581111600,"696 & 550 Encinitas Blvd, Quail
Gardens Dr","ENCINITAS BLVD &
QUAIL GARDENS SITES",Ord No. 2019-04,3/27/2019,,55,,,Unaccommodated Need,2.2,OP/ R-30 OL,OP/ R-30 OL,25 DU/AC,30 DU/AC,55,Vacant,
ENCINITAS,SAN DIEGO,2019,2581304500,"696 & 550 Encinitas Blvd, Quail
Gardens Dr","ENCINITAS BLVD &
QUAIL GARDENS SITES",Ord No. 2019-04,3/27/2019,,6,,,Unaccommodated Need,0.23,OP/ R-30 OL,OP/ R-30 OL,25 DU/AC,30 DU/AC,6,Vacant,
ENCINITAS,SAN DIEGO,2019,2581308100,"696 & 550 Encinitas Blvd, Quail
Gardens Dr","ENCINITAS BLVD &
QUAIL GARDENS SITES",Ord No. 2019-04,3/27/2019,,33,,,Unaccommodated Need,1.31,OP/ R-30 OL,OP/ R-30 OL,25 DU/AC,30 DU/AC,33,Vacant,
ENCINITAS,SAN DIEGO,2019,2581303400,"696 & 550 Encinitas Blvd, Quail
Gardens Dr","ENCINITAS BLVD &
QUAIL GARDENS SITES",Ord No. 2019-04,3/27/2019,,25,,,Unaccommodated Need,1.02,OP/ R-30 OL,OP/ R-30 OL,25 DU/AC,30 DU/AC,25,Vacant,
ENCINITAS,SAN DIEGO,2019,2592313200,Rancho Santa Fe Dr,RANCHO SANTA FE PARCELS (GAFFNEY/ GOODSEN),Ord No. 2019-04,3/27/2019,,36,,,Unaccommodated Need,1.45,RR2/ R-30  OL,RR2/ R-30  OL,25 DU/AC,30 DU/AC,36,Vacant,
ENCINITAS,SAN DIEGO,2019,2620618500,Sage Canyon Drive,SAGE CANYON PARCEL,Ord No. 2019-04,3/27/2019,,60,,,Unaccommodated Need,2.4,R3/ R30 OL,R3/ R30 OL,25 DU/AC,30 DU/AC,60,Vacant,
ENCINITAS,SAN DIEGO,2019,2570203600,"Mays Hollow Ln,",BALDWIN & SONS PROPERTIES,Ord No. 2019-04,3/27/2019,,43,,,Unaccommodated Need,1.74,R3/ R30 OL,R3/ R30 OL,25 DU/AC,30 DU/AC,43,Vacant,
ENCINITAS,SAN DIEGO,2019,2570203700,225 Quail Gardens Dr,BALDWIN & SONS PROPERTIES,Ord No. 2019-04,3/27/2019,,31,,,Unaccommodated Need,1.24,R3/ R30 OL,R3/ R30 OL,25 DU/AC,30 DU/AC,31,Vacant,
